Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
0,6.013,0,0.477,0.020,-0.057,0.473,-0.057,0.194,-1.617,
1,6.146,0,0.476,0.014,-0.051,0.473,-0.085,0.186,-1.627,
2,6.268,0,0.458,-0.014,-0.028,0.457,0.074,0.072,-1.689,
3,6.380,0,0.443,-0.025,-0.019,0.442,0.208,-0.016,-1.695,
4,6.508,0,0.443,-0.008,-0.030,0.442,0.022,0.056,-1.653,
5,6.623,0,0.453,0.008,-0.047,0.451,0.115,0.027,-1.608,
6,6.745,0,0.460,0.011,-0.048,0.458,0.031,0.060,-1.594,
7,6.845,0,0.475,0.013,-0.048,0.472,0.085,0.045,-1.584,
8,6.955,0,0.475,0.016,-0.047,0.473,0.055,0.052,-1.582,
9,7.063,0,0.474,0.019,-0.050,0.471,0.099,0.030,-1.574,
10,7.181,0,0.476,0.021,-0.051,0.472,0.056,0.058,-1.572,
11,7.295,0,0.484,0.022,-0.048,0.481,0.108,0.043,-1.595,
12,7.409,0,0.483,0.023,-0.042,0.481,0.118,0.067,-1.621,
13,7.525,0,0.487,0.024,-0.045,0.484,0.187,0.051,-1.620,
14,7.634,0,0.487,0.024,-0.045,0.484,0.184,0.054,-1.618,
15,7.739,0,0.479,0.025,-0.055,0.475,0.081,0.026,-1.505,
