Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
0,4.794,0,1.360,-0.010,-0.224,1.341,-0.147,0.031,-3.126,
1,4.898,0,1.385,-0.000,-0.191,1.372,-0.195,0.248,-3.101,
2,5.006,0,1.387,0.005,-0.206,1.372,-0.208,0.236,-3.086,
3,5.117,0,1.395,0.010,-0.213,1.379,-0.205,0.187,-3.071,
4,5.239,0,1.400,0.011,-0.216,1.383,-0.209,0.200,-3.071,
5,5.353,0,1.405,0.012,-0.215,1.389,-0.223,0.200,-3.066,
6,5.462,0,1.410,0.012,-0.214,1.394,-0.220,0.199,-3.065,
7,5.572,0,1.414,0.012,-0.214,1.398,-0.229,0.197,-3.064,
8,5.680,0,1.416,0.015,-0.216,1.399,-0.234,0.208,-3.062,
9,5.798,0,1.416,0.022,-0.219,1.399,-0.232,0.225,-3.061,
10,5.924,0,1.420,0.024,-0.220,1.402,-0.235,0.232,-3.061,
11,6.057,0,1.420,0.025,-0.220,1.403,-0.232,0.227,-3.065,
12,6.209,0,1.420,0.026,-0.221,1.402,-0.223,0.237,-3.067,
13,6.355,0,1.418,0.028,-0.222,1.400,-0.204,0.232,-3.080,
14,6.504,0,1.429,0.038,-0.235,1.410,-0.167,0.266,-3.098,
15,6.628,0,1.426,-0.000,-0.250,1.404,-0.161,0.262,-3.110,
16,6.744,0,1.433,-0.002,-0.249,1.412,-0.115,0.261,-3.114,
17,6.863,0,1.436,0.038,-0.251,1.414,-0.122,0.286,-3.104,
18,6.975,0,1.449,0.085,-0.255,1.424,-0.117,0.315,-3.099,
19,7.088,0,1.490,0.153,-0.254,1.460,-0.088,0.374,-3.079,
20,7.201,0,1.504,0.176,-0.251,1.472,-0.069,0.368,-3.069,
21,7.314,0,1.508,0.142,-0.243,1.481,-0.109,0.347,-3.058,
22,7.434,0,1.508,0.127,-0.233,1.485,-0.119,0.345,-3.068,
23,7.547,0,1.487,0.136,-0.228,1.463,-0.153,0.337,-3.059,
24,7.677,0,1.490,0.138,-0.235,1.465,-0.158,0.348,-3.066,
25,7.786,0,1.486,0.148,-0.239,1.459,-0.188,0.359,-3.050,
26,7.899,0,1.497,0.144,-0.238,1.471,-0.161,0.360,-3.061,
27,8.013,0,1.501,0.140,-0.236,1.476,-0.175,0.352,-3.057,
28,8.122,0,1.503,0.137,-0.235,1.479,-0.168,0.351,-3.063,
29,8.228,0,1.492,0.138,-0.235,1.467,-0.167,0.345,-3.076,
30,8.333,0,1.464,0.148,-0.237,1.437,-0.162,0.342,-3.051,
31,8.437,0,1.463,0.175,-0.240,1.432,-0.163,0.352,-3.039,
32,8.539,0,1.466,0.188,-0.247,1.432,-0.155,0.354,-3.035,
33,8.653,0,1.459,0.201,-0.251,1.423,-0.184,0.369,-3.031,
34,8.767,0,1.449,0.217,-0.253,1.410,-0.197,0.331,-3.027,
35,9.097,0,1.433,0.255,-0.270,1.384,-0.194,0.377,-2.996,
36,9.208,0,1.429,0.253,-0.266,1.381,-0.150,0.366,-3.001,
37,9.317,0,1.433,0.259,-0.276,1.382,-0.180,0.367,-3.005,
38,9.428,0,1.426,0.247,-0.272,1.378,-0.164,0.349,-3.016,
39,9.535,0,1.422,0.254,-0.280,1.370,-0.152,0.378,-3.004,
40,9.643,0,1.415,0.300,-0.295,1.351,-0.145,0.383,-2.971,
41,9.755,0,1.412,0.302,-0.292,1.348,-0.148,0.364,-2.964,
42,9.872,0,1.427,0.286,-0.277,1.371,-0.174,0.360,-2.953,
43,9.981,0,1.447,0.271,-0.280,1.394,-0.122,0.373,-2.989,
44,10.091,0,1.428,0.288,-0.287,1.369,-0.204,0.355,-2.972,
45,10.198,0,1.427,0.295,-0.302,1.364,-0.159,0.330,-2.978,
46,10.313,0,1.364,0.238,-0.304,1.308,-0.117,0.270,-3.084,
