Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
0.735,4.017,1.322,12.681,-32.668,5.403,5.468,1.799,5.757,341.788,7.353,
0.861,4.001,1.329,12.632,-21.350,5.643,-0.134,0.054,0.144,67.833,1.906,
0.983,3.994,1.345,7.648,-21.768,3.811,-0.055,0.136,0.147,22.191,-14.993,
1.104,3.988,1.350,7.379,-20.428,4.467,-0.051,0.038,0.063,53.413,5.443,
1.235,3.986,1.348,7.585,-20.294,5.201,-0.014,-0.015,0.020,133.754,5.591,
1.386,3.988,1.350,5.234,-19.701,4.631,0.013,0.012,0.018,317.742,-3.788,
1.510,3.989,1.349,4.768,-19.753,4.716,0.008,-0.004,0.009,240.376,0.678,
1.639,3.988,1.347,4.648,-19.582,5.084,-0.007,-0.019,0.020,110.234,2.850,
1.802,3.991,1.345,4.496,-18.218,5.405,0.021,-0.010,0.023,243.587,1.972,
2.019,3.991,1.341,4.515,-17.886,5.646,-0.002,-0.017,0.017,96.248,1.113,
2.190,3.987,1.335,4.699,-17.785,5.957,-0.020,-0.035,0.040,120.370,1.822,
2.372,3.988,1.334,4.869,-18.018,6.098,0.003,-0.007,0.008,200.145,0.770,
2.549,3.990,1.334,4.599,-18.025,5.926,0.010,0.001,0.010,353.872,-0.971,
2.701,3.989,1.334,4.736,-18.251,5.986,-0.002,-0.000,0.002,177.166,0.390,
2.827,3.988,1.333,5.117,-18.406,6.058,-0.013,-0.010,0.016,142.684,0.579,
2.946,3.989,1.332,5.519,-18.384,6.081,0.011,-0.008,0.014,232.327,0.193,
3.076,3.992,1.332,5.059,-18.374,5.933,0.025,-0.001,0.025,267.415,-1.135,
3.201,3.992,1.332,5.392,-18.443,6.096,0.000,-0.002,0.002,189.719,1.310,
3.323,3.991,1.333,5.000,-17.995,6.037,-0.014,0.009,0.017,58.120,-0.484,
3.449,3.988,1.332,5.442,-18.432,6.392,-0.024,-0.006,0.025,165.628,2.808,
3.572,3.987,1.332,5.266,-18.337,6.399,-0.006,-0.001,0.006,175.315,0.063,
3.696,3.988,1.334,4.898,-18.292,6.254,0.005,0.014,0.015,291.722,-1.172,
3.820,3.986,1.332,5.304,-18.451,6.535,-0.013,-0.015,0.020,129.331,2.261,
3.939,3.987,1.332,5.269,-18.446,6.465,0.010,0.006,0.011,328.828,-0.596,
4.069,3.987,1.333,4.735,-18.313,6.345,-0.000,0.005,0.005,4.444,-0.923,
4.190,3.986,1.332,5.379,-18.382,6.565,-0.010,-0.006,0.012,151.388,1.823,
4.306,3.985,1.333,4.945,-18.166,6.452,-0.008,0.002,0.008,73.767,-0.975,
4.426,3.982,1.330,5.434,-18.053,6.829,-0.022,-0.021,0.031,135.789,3.145,
4.550,3.982,1.329,6.075,-18.339,7.011,0.001,-0.007,0.007,186.261,1.457,
4.674,3.984,1.332,4.556,-17.981,6.492,0.012,0.020,0.023,300.905,-4.191,
4.802,3.983,1.331,5.434,-18.146,6.757,-0.004,-0.008,0.009,115.877,2.072,
4.922,3.983,1.330,5.434,-18.278,6.818,-0.004,-0.005,0.006,125.522,0.507,
5.049,3.983,1.331,4.755,-18.105,6.611,-0.000,0.011,0.011,1.218,-1.637,
5.177,3.981,1.330,5.492,-18.150,6.915,-0.012,-0.011,0.016,136.555,2.382,
5.303,3.980,1.330,5.678,-18.031,6.934,-0.011,0.000,0.011,89.541,0.148,
5.435,3.980,1.331,5.268,-18.109,6.894,0.002,0.004,0.005,295.646,-0.302,
5.572,3.982,1.333,5.393,-17.998,6.849,0.010,0.016,0.019,302.352,-0.327,
5.712,3.984,1.339,5.064,-17.582,6.873,0.017,0.042,0.045,292.421,0.165,
5.848,3.982,1.339,4.401,-17.265,7.140,-0.013,0.002,0.014,81.581,1.970,
5.993,3.980,1.338,4.634,-17.481,6.972,-0.019,-0.008,0.020,158.018,-1.151,
