Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
0,2.498,0,0.464,0.014,-0.092,0.455,0.226,-0.020,-1.586,
1,2.619,0,0.459,0.013,-0.089,0.450,0.290,0.005,-1.580,
2,2.745,0,0.458,0.013,-0.088,0.449,0.322,0.011,-1.579,
3,2.864,0,0.461,0.013,-0.090,0.452,0.288,0.005,-1.578,
4,2.980,0,0.464,0.013,-0.090,0.455,0.255,-0.010,-1.578,
5,3.099,0,0.465,0.013,-0.088,0.456,0.269,-0.011,-1.572,
6,3.226,0,0.464,0.013,-0.088,0.456,0.282,-0.006,-1.572,
7,3.360,0,0.465,0.013,-0.087,0.457,0.275,-0.014,-1.571,
8,3.479,0,0.466,0.012,-0.085,0.458,0.271,-0.016,-1.565,
9,3.602,0,0.465,0.012,-0.082,0.458,0.281,-0.020,-1.551,
10,3.723,0,0.465,0.012,-0.080,0.458,0.294,-0.017,-1.548,
11,3.844,0,0.466,0.012,-0.079,0.459,0.290,-0.020,-1.547,
12,3.970,0,0.467,0.012,-0.079,0.460,0.284,-0.021,-1.547,
13,4.097,0,0.467,0.012,-0.079,0.460,0.289,-0.020,-1.549,
14,4.229,0,0.467,0.012,-0.079,0.460,0.290,-0.014,-1.550,
15,4.343,0,0.467,0.012,-0.079,0.460,0.292,-0.018,-1.549,
16,4.474,0,0.467,0.012,-0.079,0.460,0.287,-0.019,-1.550,
17,4.593,0,0.468,0.012,-0.079,0.461,0.290,-0.017,-1.549,
18,4.720,0,0.468,0.013,-0.079,0.461,0.294,-0.018,-1.550,
19,4.841,0,0.468,0.014,-0.080,0.461,0.275,-0.027,-1.542,
