Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
0,2.464,0,1.197,0.138,-0.156,1.179,-0.027,0.425,3.082,
1,2.586,0,1.227,0.127,-0.159,1.210,-0.056,0.402,3.112,
2,2.713,0,1.267,0.116,-0.164,1.252,0.063,0.380,3.081,
3,2.839,0,1.266,0.111,-0.156,1.251,0.034,0.402,3.108,
4,2.959,0,1.258,0.111,-0.152,1.243,0.006,0.414,3.127,
5,3.079,0,1.255,0.114,-0.153,1.240,0.001,0.419,3.134,
6,3.206,0,1.253,0.116,-0.152,1.239,0.004,0.424,3.137,
7,3.328,0,1.248,0.119,-0.152,1.233,-0.022,0.432,-3.129,
8,3.452,0,1.249,0.119,-0.152,1.234,0.003,0.420,-3.139,
9,3.576,0,1.248,0.120,-0.152,1.233,-0.020,0.428,-3.127,
10,3.693,0,1.249,0.118,-0.153,1.234,0.009,0.415,-3.140,
11,3.819,0,1.245,0.119,-0.153,1.229,0.001,0.411,-3.135,
12,3.938,0,1.238,0.124,-0.153,1.222,0.049,0.374,3.128,
