Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
0,0.705,0,1.188,0.107,-0.135,1.176,-0.101,-0.384,0.165,
1,0.956,0,1.198,0.085,-0.095,1.191,0.138,-0.378,0.129,
2,1.085,0,1.202,0.083,-0.094,1.196,0.116,-0.331,0.112,
3,1.271,0,1.218,0.073,-0.087,1.212,0.058,-0.179,0.065,
4,1.403,0,1.224,0.058,-0.068,1.220,0.091,-0.195,0.032,
5,1.541,0,1.238,0.050,-0.064,1.235,0.130,-0.136,0.018,
6,1.734,0,1.224,0.045,-0.061,1.222,0.084,-0.135,0.004,
7,1.912,0,1.226,0.041,-0.062,1.223,0.123,-0.132,-0.006,
8,2.050,0,1.214,0.042,-0.064,1.212,0.110,-0.122,-0.008,
9,2.177,0,1.216,0.042,-0.065,1.213,0.145,-0.107,-0.012,
10,2.303,0,1.214,0.043,-0.068,1.211,0.139,-0.109,-0.010,
11,2.437,0,1.214,0.048,-0.072,1.211,0.142,-0.125,-0.006,
12,2.560,0,1.213,0.051,-0.075,1.209,0.133,-0.119,-0.002,
13,2.723,0,1.216,0.054,-0.076,1.213,0.138,-0.131,-0.000,
14,2.859,0,1.217,0.055,-0.076,1.214,0.150,-0.140,0.002,
15,2.975,0,1.218,0.055,-0.077,1.214,0.133,-0.115,-0.005,
16,3.109,0,1.217,0.054,-0.078,1.214,0.127,-0.149,-0.003,
17,3.239,0,1.215,0.053,-0.079,1.212,0.122,-0.144,-0.005,
18,3.373,0,1.217,0.053,-0.079,1.213,0.136,-0.141,-0.009,
19,3.502,0,1.215,0.052,-0.079,1.212,0.131,-0.141,-0.014,
20,3.628,0,1.213,0.052,-0.081,1.209,0.137,-0.159,-0.006,
21,3.757,0,1.215,0.052,-0.083,1.211,0.125,-0.157,-0.008,
22,3.885,0,1.218,0.054,-0.084,1.214,0.117,-0.145,-0.013,
23,4.026,0,1.220,0.051,-0.083,1.216,0.134,-0.165,-0.018,
24,4.159,0,1.219,0.051,-0.085,1.215,0.116,-0.153,-0.022,
25,4.283,0,1.219,0.050,-0.085,1.215,0.131,-0.199,-0.018,
26,4.410,0,1.221,0.050,-0.082,1.217,0.103,-0.159,-0.029,
27,4.542,0,1.230,0.074,-0.094,1.224,0.198,-0.210,-0.016,
28,4.672,0,1.244,0.132,-0.138,1.229,0.197,-0.261,0.034,
29,4.797,0,1.240,0.130,-0.148,1.224,0.248,-0.264,0.069,
30,5.291,0,1.185,0.127,-0.201,1.161,-0.528,-0.087,1.474,
31,5.542,0,1.174,0.096,-0.163,1.158,-0.334,-0.141,1.517,
32,5.662,0,1.171,0.092,-0.159,1.156,-0.276,-0.100,1.553,
33,5.780,0,1.173,0.090,-0.159,1.159,-0.291,-0.123,1.535,
34,5.906,0,1.176,0.090,-0.155,1.163,-0.259,-0.116,1.532,
35,6.023,0,1.190,0.087,-0.153,1.177,-0.218,-0.060,1.543,
36,6.151,0,1.215,0.084,-0.139,1.204,-0.234,-0.060,1.540,
37,6.270,0,1.228,0.086,-0.133,1.217,-0.282,-0.105,1.529,
38,6.389,0,1.231,0.089,-0.129,1.220,-0.237,-0.078,1.530,
39,6.519,0,1.228,0.092,-0.128,1.218,-0.229,-0.076,1.533,
40,6.640,0,1.229,0.091,-0.126,1.219,-0.211,-0.063,1.532,
41,6.775,0,1.228,0.090,-0.128,1.218,-0.218,-0.063,1.534,
42,6.903,0,1.227,0.091,-0.133,1.216,-0.229,-0.071,1.534,
43,7.028,0,1.225,0.094,-0.134,1.214,-0.210,-0.065,1.534,
44,7.149,0,1.226,0.095,-0.136,1.215,-0.210,-0.063,1.533,
45,7.401,0,1.223,0.094,-0.137,1.212,-0.203,-0.066,1.528,
46,7.530,0,1.220,0.092,-0.138,1.208,-0.212,-0.050,1.533,
47,7.655,0,1.218,0.090,-0.138,1.207,-0.206,-0.046,1.530,
48,7.784,0,1.219,0.093,-0.139,1.207,-0.208,-0.049,1.528,
49,7.907,0,1.220,0.094,-0.139,1.208,-0.217,-0.050,1.531,
50,8.036,0,1.218,0.093,-0.139,1.206,-0.215,-0.045,1.530,
51,8.169,0,1.218,0.093,-0.140,1.206,-0.213,-0.040,1.531,
52,8.295,0,1.220,0.094,-0.140,1.208,-0.227,-0.050,1.528,
53,8.411,0,1.222,0.094,-0.138,1.211,-0.215,-0.042,1.527,
54,8.548,0,1.222,0.094,-0.137,1.211,-0.225,-0.058,1.524,
55,8.673,0,1.224,0.093,-0.135,1.213,-0.210,-0.046,1.523,
56,8.810,0,1.227,0.092,-0.133,1.216,-0.230,-0.056,1.521,
57,8.930,0,1.228,0.092,-0.131,1.217,-0.217,-0.050,1.522,
58,9.058,0,1.229,0.092,-0.131,1.219,-0.226,-0.051,1.522,
59,9.184,0,1.227,0.091,-0.133,1.216,-0.224,-0.053,1.522,
60,9.313,0,1.229,0.091,-0.135,1.218,-0.220,-0.043,1.523,
61,9.449,0,1.229,0.092,-0.135,1.218,-0.246,-0.059,1.520,
62,9.579,0,1.230,0.092,-0.136,1.219,-0.227,-0.047,1.523,
63,9.708,0,1.228,0.092,-0.137,1.216,-0.236,-0.054,1.522,
64,9.837,0,1.226,0.092,-0.138,1.215,-0.221,-0.042,1.523,
65,9.961,0,1.225,0.091,-0.139,1.214,-0.229,-0.053,1.521,
66,10.096,0,1.226,0.090,-0.139,1.214,-0.224,-0.047,1.521,
67,10.216,0,1.225,0.089,-0.139,1.214,-0.227,-0.051,1.520,
68,10.348,0,1.225,0.088,-0.139,1.214,-0.226,-0.049,1.519,
69,10.476,0,1.225,0.087,-0.140,1.214,-0.222,-0.047,1.518,
70,10.610,0,1.225,0.087,-0.139,1.214,-0.222,-0.043,1.519,
71,10.728,0,1.224,0.087,-0.140,1.213,-0.230,-0.050,1.517,
72,10.862,0,1.224,0.087,-0.141,1.213,-0.226,-0.036,1.519,
