Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
0,0.911,0,0.496,0.049,-0.090,0.485,-0.454,0.011,1.561,
1,1.035,0,0.482,0.049,-0.083,0.472,0.235,-0.096,1.615,
2,1.182,0,0.506,0.045,-0.073,0.499,-0.359,-0.086,1.570,
3,1.319,0,0.523,0.037,-0.066,0.517,-0.416,-0.109,1.560,
4,1.439,0,0.526,0.035,-0.060,0.522,-0.408,-0.143,1.552,
5,1.600,0,0.528,0.036,-0.060,0.523,-0.410,-0.147,1.554,
6,1.742,0,0.526,0.037,-0.061,0.522,-0.414,-0.147,1.557,
7,2.438,0,0.526,0.033,-0.067,0.521,-0.412,-0.127,1.545,
8,2.557,0,0.525,0.033,-0.066,0.520,-0.422,-0.124,1.545,
9,2.907,0,0.523,0.033,-0.065,0.518,-0.420,-0.135,1.540,
10,3.034,0,0.524,0.034,-0.065,0.518,-0.415,-0.129,1.547,
11,3.142,0,0.524,0.037,-0.067,0.518,-0.427,-0.127,1.548,
12,3.485,0,0.516,0.044,-0.069,0.510,-0.439,-0.148,1.540,
