Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
2.097,4.257,1.330,-0.929,5.967,-87.671,2.031,0.635,2.128,342.644,-41.827,
2.356,4.283,1.311,-0.433,6.211,-89.867,0.100,-0.076,0.126,232.876,-8.498,
2.472,4.276,1.312,-1.174,5.262,-88.556,-0.061,0.010,0.062,81.118,11.237,
2.598,4.275,1.311,-1.358,5.312,-88.381,-0.004,-0.008,0.009,115.290,1.383,
2.727,4.277,1.309,-1.709,5.995,-88.414,0.014,-0.013,0.019,228.880,-0.252,
2.861,4.277,1.307,4.996,5.664,-88.986,-0.003,-0.019,0.019,98.156,-4.256,
2.984,4.278,1.312,-1.823,5.966,-88.268,0.008,0.044,0.044,280.305,5.846,
3.106,4.277,1.312,4.088,6.687,-88.874,-0.011,-0.002,0.011,167.540,-4.972,
3.225,4.270,1.314,10.171,4.892,-88.941,-0.053,0.019,0.057,70.700,-0.566,
3.347,4.274,1.320,-2.765,7.141,-87.897,0.035,0.045,0.057,307.531,8.559,
3.470,4.273,1.321,-3.567,8.225,-87.840,-0.008,0.011,0.013,35.336,0.460,
