Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
0,0.735,0,1.178,0.089,-0.114,1.169,0.221,-0.570,0.094,
1,0.861,0,1.202,0.105,-0.123,1.191,0.220,-0.373,0.098,
2,0.983,0,1.232,0.114,-0.136,1.219,0.133,-0.380,0.067,
3,1.103,0,1.241,0.119,-0.143,1.227,0.129,-0.357,0.078,
4,1.235,0,1.246,0.119,-0.142,1.232,0.132,-0.354,0.091,
5,1.385,0,1.258,0.118,-0.143,1.244,0.091,-0.344,0.081,
6,1.510,0,1.263,0.117,-0.142,1.250,0.083,-0.345,0.082,
7,1.639,0,1.267,0.117,-0.141,1.254,0.081,-0.342,0.089,
8,1.802,0,1.268,0.113,-0.139,1.255,0.078,-0.318,0.094,
9,2.018,0,1.269,0.113,-0.136,1.256,0.079,-0.312,0.099,
10,2.189,0,1.268,0.117,-0.131,1.256,0.082,-0.310,0.104,
11,2.372,0,1.267,0.116,-0.130,1.255,0.085,-0.314,0.106,
12,2.549,0,1.270,0.115,-0.130,1.258,0.080,-0.315,0.103,
13,2.701,0,1.267,0.115,-0.130,1.255,0.083,-0.319,0.104,
14,2.827,0,1.268,0.116,-0.129,1.256,0.089,-0.321,0.106,
15,2.945,0,1.268,0.115,-0.128,1.256,0.096,-0.321,0.106,
16,3.076,0,1.268,0.112,-0.127,1.257,0.088,-0.321,0.104,
17,3.200,0,1.268,0.112,-0.127,1.256,0.094,-0.322,0.106,
18,3.323,0,1.269,0.113,-0.128,1.258,0.087,-0.314,0.105,
19,3.449,0,1.266,0.116,-0.129,1.254,0.095,-0.322,0.112,
20,3.572,0,1.267,0.116,-0.129,1.255,0.092,-0.320,0.112,
21,3.695,0,1.267,0.116,-0.130,1.255,0.085,-0.319,0.109,
22,3.820,0,1.266,0.117,-0.129,1.254,0.093,-0.322,0.114,
23,3.939,0,1.265,0.116,-0.129,1.253,0.092,-0.322,0.113,
24,4.069,0,1.266,0.116,-0.130,1.254,0.083,-0.320,0.111,
25,4.190,0,1.264,0.117,-0.130,1.252,0.094,-0.321,0.115,
26,4.306,0,1.263,0.118,-0.130,1.251,0.086,-0.317,0.113,
27,4.426,0,1.257,0.120,-0.128,1.245,0.095,-0.315,0.119,
28,4.550,0,1.256,0.120,-0.128,1.244,0.106,-0.320,0.122,
29,4.674,0,1.260,0.119,-0.129,1.247,0.080,-0.314,0.113,
30,4.802,0,1.257,0.119,-0.129,1.245,0.095,-0.317,0.118,
31,4.922,0,1.256,0.120,-0.128,1.244,0.095,-0.319,0.119,
32,5.049,0,1.257,0.120,-0.129,1.244,0.083,-0.316,0.115,
33,5.177,0,1.254,0.121,-0.129,1.242,0.096,-0.317,0.121,
34,5.303,0,1.255,0.122,-0.129,1.242,0.099,-0.315,0.121,
35,5.435,0,1.255,0.122,-0.129,1.242,0.092,-0.316,0.120,
36,5.571,0,1.254,0.121,-0.131,1.241,0.094,-0.314,0.120,
37,5.712,0,1.252,0.117,-0.137,1.239,0.088,-0.307,0.120,
38,5.847,0,1.249,0.119,-0.138,1.236,0.077,-0.301,0.125,
39,5.993,0,1.240,0.122,-0.137,1.227,0.081,-0.305,0.122,
