Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
6.126,4.034,1.274,23.869,-27.425,11.787,0.658,0.208,0.690,342.467,1.924,
6.258,4.055,1.309,16.036,-18.375,4.869,0.163,0.261,0.308,302.000,-52.389,
6.381,4.081,1.313,6.100,-15.308,5.188,0.214,0.036,0.217,350.524,2.606,
6.496,4.089,1.313,4.083,-14.245,5.491,0.065,0.001,0.065,358.699,2.641,
6.624,4.092,1.316,5.972,-14.800,5.412,0.025,0.023,0.034,317.821,-0.617,
6.743,4.091,1.318,7.083,-14.526,5.227,-0.005,0.012,0.013,22.635,-1.552,
6.871,4.091,1.317,6.663,-13.996,4.944,-0.006,-0.004,0.007,146.872,-2.200,
6.998,4.092,1.317,7.118,-14.249,4.869,0.011,0.002,0.011,349.463,-0.592,
7.120,4.092,1.318,8.097,-14.152,4.853,0.001,0.006,0.006,280.139,-0.132,
7.248,4.093,1.318,6.670,-14.080,4.703,0.006,0.001,0.006,349.840,-1.171,
7.376,4.090,1.318,7.374,-13.597,4.951,-0.022,0.000,0.022,89.590,1.943,
7.501,4.088,1.317,7.483,-14.093,5.304,-0.020,-0.014,0.024,145.057,2.811,
7.632,4.086,1.316,7.966,-14.130,5.535,-0.013,-0.008,0.015,149.989,1.764,
7.753,4.085,1.315,7.219,-13.834,5.537,-0.011,-0.008,0.014,146.209,0.023,
7.881,4.084,1.316,7.581,-13.914,5.716,-0.009,0.007,0.011,52.198,1.391,
8.007,4.082,1.315,8.165,-13.945,5.923,-0.014,-0.006,0.015,156.031,1.648,
8.140,4.082,1.317,7.889,-13.878,5.935,-0.001,0.014,0.014,4.287,0.096,
8.268,4.082,1.319,7.724,-14.077,5.897,-0.001,0.022,0.022,1.483,-0.298,
8.392,4.078,1.317,8.323,-14.061,6.144,-0.029,-0.018,0.034,149.001,1.993,
8.514,4.078,1.318,8.254,-13.974,6.094,-0.001,0.003,0.003,24.294,-0.408,
