Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
2.051,4.115,1.203,27.439,13.646,-97.778,2.006,0.586,2.090,343.709,-47.670,
2.216,4.100,1.204,-2.841,4.589,-92.560,-0.092,0.008,0.093,85.067,31.651,
2.376,4.100,1.203,5.982,7.267,-93.350,-0.001,-0.004,0.004,101.281,-4.951,
2.532,4.100,1.203,4.269,6.359,-93.174,-0.000,-0.001,0.001,96.019,1.126,
2.685,4.100,1.203,6.373,7.414,-93.540,0.002,-0.002,0.002,225.186,-2.380,
2.840,4.100,1.203,2.622,5.398,-92.905,-0.004,-0.002,0.004,155.623,4.095,
2.996,4.099,1.202,4.100,6.076,-93.195,-0.001,-0.002,0.002,123.905,-1.855,
3.159,4.099,1.203,2.910,5.549,-93.267,0.000,0.001,0.001,276.230,-0.440,
3.319,4.099,1.203,3.395,5.779,-93.367,-0.006,0.001,0.006,78.257,-0.630,
3.467,4.098,1.203,3.152,5.575,-93.282,-0.004,0.002,0.005,63.642,0.572,
3.630,4.098,1.204,2.987,5.597,-93.536,0.001,0.003,0.003,283.577,-1.552,
3.784,4.100,1.203,3.607,5.958,-93.628,0.010,-0.003,0.010,252.492,-0.598,
3.936,4.100,1.202,1.365,4.818,-93.358,0.001,-0.007,0.007,188.723,1.774,
4.081,4.100,1.200,3.246,5.622,-93.550,0.002,-0.017,0.017,185.155,-1.318,
4.227,4.102,1.194,-1.000,3.357,-92.604,0.011,-0.041,0.043,195.423,6.508,
4.399,4.105,1.181,-4.656,2.742,-92.357,0.019,-0.075,0.077,194.286,1.429,
4.544,4.107,1.174,-1.450,4.356,-93.111,0.017,-0.047,0.050,199.327,-5.203,
4.845,4.199,1.133,-10.745,7.319,-78.791,0.303,-0.135,0.332,246.015,47.585,
