Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
8.800,4.088,1.449,0.046,-15.332,1.563,0.465,0.165,0.493,340.477,0.178,
8.920,4.095,1.447,-1.220,-14.633,-1.110,0.058,-0.021,0.062,249.962,-22.404,
9.036,4.081,1.421,-0.030,-13.744,-0.279,-0.120,-0.219,0.249,118.689,7.109,
9.154,4.065,1.392,1.342,-11.947,0.504,-0.133,-0.254,0.287,117.673,6.656,
9.280,4.066,1.382,1.478,-10.916,0.250,0.006,-0.074,0.075,184.685,-2.015,
9.410,4.066,1.379,1.102,-10.831,0.051,-0.005,-0.023,0.024,101.761,-1.542,
9.538,4.066,1.376,1.010,-10.495,0.242,0.001,-0.024,0.024,181.357,1.486,
9.797,4.070,1.378,0.863,-10.115,0.063,0.017,0.008,0.019,333.783,-0.694,
9.930,4.071,1.379,0.798,-10.044,0.199,0.007,0.010,0.012,305.452,1.035,
10.057,4.074,1.381,0.063,-10.101,-0.003,0.025,0.009,0.027,339.403,-1.590,
10.181,4.076,1.382,-0.005,-10.212,-0.127,0.014,0.007,0.016,334.655,-1.005,
10.298,4.077,1.382,0.216,-10.254,-0.208,0.007,0.006,0.010,319.520,-0.682,
10.440,4.079,1.384,-0.214,-10.249,-0.425,0.014,0.012,0.018,319.384,-1.536,
10.577,4.080,1.385,-0.231,-10.574,-0.674,0.007,0.005,0.009,324.685,-1.821,
10.706,4.080,1.384,-0.229,-10.612,-0.665,0.002,-0.001,0.002,234.254,0.073,
10.839,4.081,1.385,-0.152,-10.607,-0.760,0.010,0.002,0.010,348.075,-0.712,
10.962,4.083,1.385,-0.433,-10.480,-0.833,0.015,0.002,0.015,353.177,-0.600,
11.096,4.085,1.385,-0.479,-10.374,-0.858,0.016,-0.002,0.017,262.680,-0.186,
11.248,4.081,1.385,2.469,-11.638,-0.886,-0.025,0.003,0.025,83.621,-0.179,
11.384,4.063,1.365,13.432,-11.901,0.954,-0.138,-0.149,0.203,132.763,13.511,
11.513,4.046,1.351,16.100,-12.579,2.398,-0.130,-0.104,0.166,141.463,11.189,
11.653,4.045,1.344,13.356,-14.122,1.483,-0.008,-0.054,0.055,97.904,-6.544,
11.793,4.043,1.336,13.717,-14.205,1.477,-0.009,-0.053,0.054,99.897,-0.046,
11.925,4.063,1.335,14.117,-13.259,1.152,0.151,-0.013,0.152,265.192,-2.460,
12.073,4.081,1.343,13.688,-13.322,-0.471,0.118,0.056,0.131,334.403,-11.027,
12.209,4.087,1.344,14.888,-12.448,-0.615,0.044,0.006,0.044,352.635,-1.053,
12.346,4.109,1.348,14.909,-12.103,-1.154,0.159,0.029,0.161,349.637,-3.938,
12.474,4.106,1.348,13.904,-13.081,-1.561,-0.018,0.005,0.018,73.945,-3.189,
12.629,4.095,1.349,15.190,-12.371,-1.195,-0.073,0.003,0.073,87.383,2.350,
12.763,4.094,1.352,14.572,-12.177,-1.097,-0.009,0.024,0.026,20.667,0.736,
12.916,4.099,1.357,14.671,-11.459,-0.999,0.032,0.030,0.044,317.235,0.646,
13.083,4.106,1.360,15.724,-11.399,-1.246,0.042,0.019,0.047,335.502,-1.480,
13.239,4.108,1.358,14.398,-11.932,-1.381,0.014,-0.014,0.020,223.406,-0.864,
13.394,4.111,1.358,14.269,-12.234,-1.794,0.019,0.004,0.019,347.132,-2.661,
13.534,4.111,1.357,16.385,-11.789,-1.679,0.003,-0.012,0.012,192.890,0.827,
13.658,4.122,1.362,14.966,-11.048,-1.994,0.087,0.042,0.097,334.488,-2.545,
13.786,4.123,1.362,15.721,-11.514,-1.882,0.004,-0.003,0.006,233.327,0.879,
13.925,4.120,1.367,16.635,-10.542,-1.697,-0.018,0.036,0.041,26.750,1.333,
14.069,4.136,1.364,16.567,-10.865,-2.526,0.109,-0.021,0.111,259.320,-5.754,
14.194,4.140,1.362,16.114,-10.573,-2.848,0.030,-0.016,0.034,242.228,-2.558,
14.336,4.147,1.363,17.731,-10.330,-3.104,0.049,0.012,0.051,346.894,-1.814,
14.471,4.146,1.366,16.447,-10.409,-3.208,-0.006,0.021,0.022,16.939,-0.772,
14.608,4.136,1.371,17.544,-10.129,-2.929,-0.073,0.035,0.081,64.539,2.033,
