Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
0,1.798,0,1.302,-0.043,-0.180,1.289,-0.296,0.290,2.987,
1,1.903,0,1.304,-0.016,-0.136,1.297,-0.354,0.208,3.076,
2,2.015,0,1.326,-0.002,-0.116,1.321,-0.284,0.220,3.104,
3,2.131,0,1.339,0.019,-0.104,1.335,-0.233,0.247,3.132,
4,2.259,0,1.332,0.027,-0.098,1.328,-0.267,0.242,-3.129,
5,2.364,0,1.332,0.029,-0.096,1.329,-0.271,0.245,-3.123,
6,2.483,0,1.333,0.030,-0.095,1.330,-0.266,0.248,-3.121,
7,2.589,0,1.336,0.031,-0.095,1.333,-0.256,0.247,-3.122,
8,2.693,0,1.332,0.033,-0.092,1.328,-0.278,0.293,-3.115,
9,2.811,0,1.338,0.038,-0.092,1.334,-0.248,0.248,-3.117,
10,2.920,0,1.336,0.040,-0.093,1.333,-0.262,0.247,-3.112,
11,3.029,0,1.336,0.041,-0.092,1.332,-0.262,0.244,-3.112,
12,3.132,0,1.336,0.042,-0.092,1.332,-0.258,0.246,-3.111,
13,3.237,0,1.336,0.042,-0.092,1.332,-0.258,0.245,-3.112,
14,3.345,0,1.337,0.044,-0.091,1.333,-0.258,0.243,-3.110,
15,3.453,0,1.329,0.044,-0.089,1.325,-0.289,0.292,-3.105,
16,3.562,0,1.337,0.045,-0.092,1.333,-0.255,0.240,-3.111,
17,3.668,0,1.336,0.047,-0.092,1.332,-0.244,0.238,-3.111,
18,3.776,0,1.335,0.048,-0.091,1.331,-0.252,0.235,-3.110,
19,3.879,0,1.333,0.049,-0.090,1.329,-0.274,0.236,-3.104,
20,3.992,0,1.334,0.048,-0.091,1.330,-0.267,0.236,-3.107,
21,4.110,0,1.338,0.047,-0.091,1.334,-0.256,0.234,-3.111,
22,4.220,0,1.340,0.045,-0.092,1.336,-0.248,0.236,-3.114,
23,4.326,0,1.332,0.044,-0.090,1.328,-0.277,0.285,-3.109,
24,4.435,0,1.338,0.046,-0.093,1.334,-0.263,0.234,-3.111,
25,4.542,0,1.337,0.048,-0.091,1.333,-0.273,0.237,-3.106,
26,4.649,0,1.339,0.047,-0.089,1.336,-0.263,0.241,-3.105,
27,4.756,0,1.340,0.047,-0.090,1.337,-0.259,0.238,-3.107,
28,4.868,0,1.341,0.047,-0.089,1.337,-0.264,0.240,-3.106,
29,4.994,0,1.333,0.046,-0.088,1.329,-0.296,0.288,-3.101,
30,5.111,0,1.340,0.047,-0.090,1.336,-0.266,0.237,-3.106,
31,5.218,0,1.341,0.048,-0.090,1.337,-0.262,0.240,-3.106,
32,5.325,0,1.341,0.048,-0.091,1.337,-0.262,0.240,-3.107,
33,5.441,0,1.340,0.047,-0.091,1.336,-0.267,0.239,-3.109,
34,5.550,0,1.336,0.044,-0.094,1.332,-0.264,0.242,-3.124,
35,5.660,0,1.330,0.055,-0.115,1.324,-0.277,0.293,3.033,
36,5.885,0,1.272,0.140,-0.185,1.250,-0.384,0.506,2.400,
37,5.994,0,1.252,0.147,-0.181,1.230,-0.472,0.471,2.290,
38,6.911,0,1.179,0.141,-0.134,1.163,-0.737,0.149,1.417,
39,7.132,0,1.181,0.140,-0.139,1.165,-0.718,0.156,1.419,
40,7.676,0,1.180,0.129,-0.141,1.165,-0.722,0.184,1.432,
41,8.122,0,1.173,0.137,-0.144,1.156,-0.708,0.181,1.447,
42,8.337,0,1.175,0.138,-0.147,1.158,-0.708,0.201,1.436,
43,8.452,0,1.186,0.140,-0.145,1.169,-0.645,0.240,1.439,
44,8.563,0,1.242,0.153,-0.124,1.226,-0.403,0.387,1.450,
45,8.682,0,1.231,0.166,-0.078,1.217,-0.354,0.350,1.433,
46,8.804,0,1.231,0.179,-0.047,1.217,-0.371,0.289,1.395,
47,8.926,0,1.229,0.184,-0.019,1.216,-0.369,0.323,1.393,
48,9.043,0,1.220,0.185,-0.011,1.206,-0.397,0.326,1.408,
49,9.161,0,1.226,0.188,-0.013,1.212,-0.392,0.310,1.391,
50,9.282,0,1.219,0.186,-0.011,1.205,-0.390,0.323,1.399,
51,9.398,0,1.224,0.187,-0.012,1.209,-0.384,0.327,1.390,
52,9.720,0,1.221,0.188,-0.016,1.206,-0.382,0.315,1.381,
53,9.869,0,1.217,0.189,-0.017,1.202,-0.390,0.316,1.380,
54,10.010,0,1.215,0.189,-0.019,1.200,-0.395,0.315,1.379,
55,10.137,0,1.214,0.188,-0.021,1.199,-0.391,0.312,1.375,
56,10.254,0,1.213,0.189,-0.023,1.198,-0.386,0.311,1.372,
57,10.371,0,1.211,0.191,-0.026,1.195,-0.377,0.304,1.370,
58,10.491,0,1.206,0.192,-0.029,1.191,-0.379,0.312,1.376,
59,10.615,0,1.203,0.193,-0.032,1.187,-0.379,0.311,1.378,
60,10.734,0,1.202,0.194,-0.032,1.186,-0.375,0.310,1.375,
61,10.854,0,1.201,0.194,-0.032,1.185,-0.380,0.308,1.376,
62,10.976,0,1.200,0.192,-0.033,1.184,-0.389,0.330,1.375,
63,11.122,0,1.202,0.191,-0.036,1.187,-0.365,0.326,1.378,
64,11.508,0,1.195,0.196,-0.041,1.178,-0.361,0.302,1.366,
65,11.627,0,1.142,0.297,-0.029,1.102,-0.277,0.048,1.292,
