Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
1.972,-0.032,0.010,19.791,-7.975,-90.181,-0.016,0.005,0.017,72.119,-45.727,
2.099,-0.049,0.018,7.243,-3.689,-90.679,-0.131,0.061,0.144,64.834,-3.938,
2.215,-0.054,0.019,11.553,-4.503,-91.399,-0.049,0.010,0.050,78.541,-6.187,
2.339,-0.056,0.022,9.052,-2.813,-91.406,-0.016,0.021,0.026,37.681,-0.061,
2.470,-0.055,0.021,9.909,-2.531,-91.193,0.009,-0.009,0.013,223.608,1.622,
2.593,-0.054,0.019,10.152,-3.397,-91.750,0.011,-0.014,0.018,216.368,-4.533,
2.715,-0.054,0.019,9.416,-3.050,-91.926,0.000,-0.001,0.001,200.142,-1.440,
2.849,-0.054,0.018,9.577,-3.199,-91.937,-0.003,-0.008,0.009,107.328,-0.088,
2.970,-0.055,0.016,8.719,-4.132,-92.077,-0.004,-0.012,0.013,107.847,-1.152,
3.091,-0.055,0.015,9.020,-3.370,-92.347,-0.001,-0.006,0.006,100.359,-2.233,
3.209,-0.055,0.014,8.699,-3.027,-92.460,-0.004,-0.009,0.010,112.352,-0.958,
3.331,-0.056,0.014,8.456,-3.513,-92.314,-0.006,-0.003,0.007,153.377,1.200,
3.446,-0.056,0.013,8.666,-3.786,-92.255,0.000,-0.009,0.009,181.210,0.511,
3.569,-0.056,0.013,7.085,-1.736,-92.719,-0.002,0.004,0.004,26.075,-3.764,
3.690,-0.057,0.013,8.722,-3.709,-92.117,-0.008,-0.002,0.008,168.382,4.994,
3.809,-0.057,0.013,8.403,-3.482,-92.084,-0.003,0.001,0.003,63.809,0.278,
3.930,-0.058,0.013,8.200,-3.036,-92.029,-0.004,0.001,0.005,73.335,0.451,
4.057,-0.058,0.013,8.537,-3.714,-91.928,0.000,-0.002,0.002,189.594,0.793,
4.179,-0.058,0.013,8.217,-3.658,-91.820,-0.003,0.000,0.003,82.309,0.890,
4.311,-0.058,0.013,8.105,-3.448,-91.873,0.002,0.000,0.002,349.788,-0.403,
4.456,-0.058,0.013,8.034,-2.901,-91.902,0.002,-0.001,0.002,251.369,-0.201,
4.576,-0.058,0.013,8.277,-3.630,-91.770,0.000,0.002,0.002,276.858,1.095,
4.698,-0.058,0.014,7.675,-3.228,-91.746,-0.003,0.003,0.004,48.674,0.199,
4.813,-0.058,0.013,8.148,-3.415,-91.737,0.000,-0.002,0.002,192.057,0.077,
4.931,-0.058,0.014,7.878,-3.888,-91.561,-0.002,0.002,0.002,45.970,1.499,
5.052,-0.058,0.014,8.083,-4.141,-91.545,-0.001,0.001,0.001,44.277,0.133,
5.178,-0.058,0.014,8.065,-3.536,-91.595,0.001,0.000,0.001,334.092,-0.401,
5.302,-0.055,0.013,7.607,-4.577,-91.708,0.027,-0.007,0.028,255.967,-0.913,
