Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
0.124,4.116,1.141,-5.899,3.496,175.408,33.148,9.191,34.398,344.503,1412.486,
0.215,4.117,1.143,-6.132,4.034,175.890,0.007,0.016,0.017,293.656,5.338,
0.294,4.118,1.144,-5.959,4.331,176.433,0.009,0.016,0.018,298.817,6.827,
0.368,4.119,1.146,-5.078,4.953,176.860,0.017,0.025,0.031,303.631,5.870,
0.437,4.121,1.147,-5.755,-0.328,177.594,0.027,0.015,0.031,331.083,10.535,
0.539,4.121,1.149,-5.039,2.742,178.125,0.003,0.023,0.023,277.163,5.165,
0.772,4.121,1.158,-6.374,9.703,178.661,0.000,0.037,0.037,270.610,2.302,
0.880,4.124,1.160,-5.430,8.697,179.274,0.022,0.023,0.032,312.868,5.723,
0.992,4.124,1.161,-5.493,10.369,179.350,0.004,0.009,0.010,295.246,0.675,
1.286,4.123,1.160,-5.665,9.148,179.116,-0.004,-0.004,0.006,130.695,-0.798,
1.397,4.122,1.160,-5.295,8.931,179.153,-0.009,0.002,0.009,79.540,0.339,
1.519,4.117,1.161,-8.876,11.211,175.557,-0.041,0.009,0.042,78.185,-29.451,
1.772,4.075,1.191,-16.698,12.726,135.531,-0.164,0.118,0.202,54.360,-157.983,
2.133,4.049,1.207,-1.946,11.487,125.810,-0.072,0.045,0.085,58.067,-26.981,
2.255,4.063,1.182,-1.493,2.966,136.462,0.112,-0.210,0.238,207.933,87.249,
2.403,4.093,1.146,-10.195,-5.393,156.397,0.203,-0.237,0.312,220.546,134.127,
2.528,4.094,1.154,-18.523,-9.321,157.192,0.011,0.059,0.060,280.797,6.400,
2.652,4.097,1.148,-15.750,-8.669,158.053,0.025,-0.043,0.050,209.726,6.952,
2.767,4.101,1.141,-13.427,-8.478,158.813,0.027,-0.061,0.067,204.092,6.560,
2.891,4.101,1.139,-13.220,-8.727,158.905,0.000,-0.017,0.017,180.354,0.740,
3.013,4.105,1.135,-14.056,-7.284,160.453,0.036,-0.033,0.049,227.359,12.746,
3.263,4.094,1.143,-8.540,4.494,154.322,-0.045,0.031,0.055,55.821,-24.457,
3.511,4.078,1.165,-9.210,6.172,144.800,-0.063,0.091,0.111,34.716,-38.507,
