Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
0,7.263,0,1.136,0.113,-0.096,1.126,0.250,0.272,-3.014,
1,7.416,0,1.124,0.105,-0.117,1.113,0.291,0.162,-2.990,
2,7.537,0,1.161,0.113,-0.121,1.149,0.062,0.501,-3.068,
3,7.655,0,1.153,0.098,-0.102,1.144,-0.093,0.360,-3.112,
4,7.778,0,1.172,0.080,-0.077,1.167,-0.013,0.181,-3.130,
5,7.912,0,1.177,0.045,-0.076,1.173,-0.102,0.215,3.119,
6,8.061,0,1.186,0.015,-0.064,1.185,-0.062,0.161,3.116,
7,8.191,0,1.189,-0.004,-0.059,1.188,-0.089,0.152,3.117,
8,8.320,0,1.191,-0.015,-0.057,1.189,-0.110,0.165,3.117,
9,8.446,0,1.191,-0.017,-0.060,1.190,-0.120,0.183,3.119,
10,8.576,0,1.187,-0.022,-0.062,1.185,-0.112,0.130,3.118,
11,8.707,0,1.205,-0.019,-0.066,1.203,-0.099,0.160,3.120,
12,8.850,0,1.218,-0.017,-0.067,1.216,-0.093,0.196,-3.131,
13,9.002,0,1.216,-0.032,-0.064,1.214,-0.008,0.102,3.123,
14,9.156,0,1.228,-0.024,-0.072,1.226,-0.133,0.038,3.139,
15,9.311,0,1.213,-0.003,-0.073,1.211,-0.112,0.038,-3.138,
16,9.477,0,1.202,0.040,-0.079,1.199,-0.103,0.048,-3.118,
17,9.622,0,1.172,0.076,-0.079,1.167,-0.099,0.015,-3.110,
18,9.784,0,1.175,0.118,-0.089,1.166,-0.088,0.007,-3.082,
19,9.942,0,1.184,0.114,-0.093,1.175,-0.086,0.024,-3.073,
20,10.093,0,1.188,0.111,-0.094,1.179,-0.082,0.027,-3.071,
21,10.233,0,1.183,0.110,-0.094,1.175,-0.078,0.029,-3.071,
22,10.360,0,1.178,0.108,-0.097,1.169,-0.081,0.028,-3.074,
