Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
0,1.926,0,0.487,0.014,-0.060,0.483,0.052,0.029,-1.547,
1,2.039,0,0.488,0.016,-0.054,0.485,0.047,0.043,-1.548,
2,2.152,0,0.487,0.017,-0.054,0.484,-0.013,0.046,-1.547,
3,2.251,0,0.489,0.017,-0.058,0.485,-0.189,0.101,-1.524,
4,2.360,0,0.492,0.018,-0.056,0.489,-0.149,0.075,-1.534,
5,2.476,0,0.496,0.018,-0.053,0.493,-0.018,0.032,-1.553,
6,2.589,0,0.501,0.019,-0.048,0.499,0.065,0.028,-1.558,
7,2.702,0,0.503,0.019,-0.045,0.501,0.075,0.033,-1.561,
8,2.823,0,0.504,0.018,-0.045,0.502,0.094,0.030,-1.562,
9,2.933,0,0.505,0.018,-0.046,0.502,0.079,0.030,-1.562,
10,3.043,0,0.505,0.018,-0.046,0.503,0.068,0.029,-1.561,
11,3.154,0,0.505,0.019,-0.045,0.502,0.082,0.031,-1.563,
12,3.271,0,0.504,0.019,-0.046,0.502,0.087,0.030,-1.563,
13,3.389,0,0.504,0.020,-0.046,0.501,0.074,0.028,-1.562,
14,3.496,0,0.504,0.019,-0.047,0.501,0.066,0.025,-1.562,
15,3.613,0,0.503,0.019,-0.047,0.501,0.076,0.027,-1.562,
16,3.726,0,0.503,0.019,-0.047,0.500,0.074,0.026,-1.562,
17,3.831,0,0.502,0.019,-0.047,0.500,0.068,0.026,-1.563,
18,3.944,0,0.502,0.019,-0.047,0.499,0.058,0.027,-1.564,
19,4.065,0,0.502,0.019,-0.047,0.499,0.058,0.027,-1.565,
20,4.182,0,0.502,0.019,-0.047,0.499,0.061,0.030,-1.566,
21,4.290,0,0.502,0.018,-0.047,0.499,0.058,0.029,-1.567,
22,4.404,0,0.501,0.018,-0.044,0.499,0.267,0.101,-1.590,
23,4.505,0,0.502,0.018,-0.047,0.499,0.059,0.027,-1.568,
24,4.617,0,0.501,0.018,-0.048,0.499,0.058,0.031,-1.570,
25,4.736,0,0.501,0.018,-0.048,0.499,0.053,0.029,-1.570,
26,4.846,0,0.502,0.018,-0.048,0.499,0.046,0.030,-1.570,
27,4.962,0,0.501,0.019,-0.048,0.499,0.057,0.033,-1.572,
28,5.070,0,0.501,0.019,-0.048,0.499,0.054,0.031,-1.572,
29,5.180,0,0.501,0.019,-0.047,0.498,0.052,0.032,-1.571,
30,5.298,0,0.501,0.018,-0.048,0.499,0.045,0.031,-1.571,
31,5.409,0,0.501,0.018,-0.048,0.499,0.057,0.032,-1.572,
32,5.520,0,0.501,0.018,-0.045,0.499,0.231,0.076,-1.587,
33,5.648,0,0.501,0.018,-0.048,0.498,0.057,0.033,-1.572,
34,5.757,0,0.500,0.017,-0.045,0.498,0.264,0.101,-1.595,
35,5.979,0,0.500,0.019,-0.049,0.498,0.044,0.032,-1.570,
36,6.189,0,0.501,0.019,-0.048,0.498,0.048,0.032,-1.570,
37,6.298,0,0.500,0.019,-0.049,0.498,0.046,0.038,-1.571,
38,6.419,0,0.500,0.019,-0.049,0.497,0.047,0.035,-1.572,
39,6.533,0,0.500,0.019,-0.049,0.497,0.034,0.035,-1.572,
40,6.646,0,0.499,0.018,-0.046,0.497,0.270,0.109,-1.597,
41,6.757,0,0.500,0.018,-0.049,0.497,0.043,0.037,-1.573,
42,6.869,0,0.500,0.018,-0.049,0.497,0.046,0.037,-1.573,
43,6.984,0,0.500,0.018,-0.050,0.497,0.035,0.036,-1.573,
44,7.133,0,0.499,0.018,-0.050,0.496,0.032,0.035,-1.572,
45,7.261,0,0.498,0.018,-0.051,0.495,-0.037,0.058,-1.566,
46,7.420,0,0.499,0.018,-0.050,0.496,-0.013,0.051,-1.569,
47,7.669,0,0.499,0.018,-0.050,0.496,0.033,0.037,-1.573,
48,7.778,0,0.499,0.018,-0.050,0.496,0.033,0.037,-1.573,
49,7.902,0,0.499,0.018,-0.050,0.496,0.030,0.036,-1.574,
50,8.030,0,0.497,0.017,-0.052,0.494,-0.005,0.048,-1.572,
