Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
2.700,4.100,1.254,9.718,5.784,-85.538,1.519,0.464,1.588,342.999,-31.684,
2.946,4.105,1.256,11.518,2.896,-84.879,0.019,0.010,0.021,332.735,2.681,
3.067,4.106,1.257,9.370,2.554,-84.827,0.014,0.008,0.017,329.912,0.430,
3.188,4.108,1.257,8.941,2.936,-85.102,0.013,-0.003,0.013,255.299,-2.272,
3.317,4.108,1.257,8.712,2.967,-85.086,0.001,0.002,0.002,291.021,0.121,
3.821,4.116,1.256,4.232,2.713,-85.618,0.016,-0.002,0.016,262.227,-1.055,
4.222,4.117,1.256,3.709,2.801,-85.675,0.003,0.001,0.003,338.115,-0.144,
4.354,4.117,1.257,3.488,2.974,-85.579,-0.001,0.006,0.006,10.484,0.728,
4.488,4.117,1.257,3.841,2.911,-85.603,-0.001,-0.003,0.003,106.501,-0.179,
4.628,4.119,1.257,2.887,2.951,-85.556,0.013,0.004,0.014,342.123,0.336,
4.752,4.118,1.258,2.812,3.021,-85.400,-0.005,0.007,0.009,34.057,1.253,
4.885,4.117,1.259,2.756,2.848,-85.294,-0.006,0.006,0.008,48.978,0.796,
5.008,4.117,1.259,2.832,2.840,-85.162,0.002,0.004,0.004,304.290,1.080,
5.136,4.117,1.259,3.617,3.168,-85.214,-0.002,0.000,0.002,84.115,-0.410,
5.258,4.117,1.259,2.957,2.807,-85.220,0.001,-0.005,0.005,193.779,-0.046,
5.388,4.117,1.259,2.688,2.832,-85.288,0.001,-0.000,0.001,250.237,-0.527,
5.644,4.118,1.259,2.382,2.805,-85.291,0.004,-0.000,0.004,264.041,-0.012,
5.769,4.118,1.258,2.617,2.637,-85.250,-0.006,-0.001,0.006,172.356,0.332,
5.889,4.118,1.258,2.888,2.820,-85.251,0.001,0.000,0.001,358.504,-0.012,
6.007,4.118,1.259,2.778,2.749,-85.199,-0.001,0.004,0.004,13.846,0.445,
6.131,4.118,1.259,2.760,2.625,-85.125,-0.000,0.004,0.004,6.319,0.593,
6.264,4.117,1.261,2.531,2.691,-85.009,-0.002,0.008,0.009,14.454,0.879,
6.383,4.117,1.261,2.794,2.958,-84.927,0.001,-0.000,0.001,261.623,0.682,
6.513,4.116,1.265,2.772,2.134,-84.700,-0.013,0.036,0.038,19.770,1.740,
