Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
1.405,4.105,1.239,0.563,-18.907,2.742,2.922,0.882,3.052,343.209,1.952,
1.577,4.095,1.230,6.606,-0.136,2.469,-0.059,-0.051,0.078,139.034,-1.587,
1.740,4.090,1.228,4.551,2.128,2.972,-0.029,-0.012,0.032,157.264,3.080,
1.887,4.089,1.227,4.324,0.310,3.049,-0.003,-0.005,0.006,118.379,0.520,
2.039,4.089,1.227,4.845,0.218,2.846,-0.002,0.002,0.003,46.428,-1.336,
2.233,4.089,1.227,5.289,-0.034,2.891,0.000,0.000,0.000,343.055,0.232,
2.412,4.090,1.227,5.234,0.349,2.930,0.004,0.001,0.004,344.890,0.219,
2.569,4.090,1.228,5.310,0.516,2.857,0.000,0.001,0.001,276.157,-0.469,
2.867,4.091,1.228,5.495,0.333,2.597,0.003,0.002,0.004,320.894,-0.871,
3.023,4.091,1.229,6.184,0.189,2.302,0.001,0.004,0.004,280.215,-1.895,
3.188,4.091,1.229,5.831,0.216,2.290,0.002,0.000,0.002,353.581,-0.072,
3.349,4.091,1.229,6.405,0.521,2.202,-0.001,0.001,0.001,55.259,-0.544,
3.522,4.091,1.229,6.154,0.309,2.249,0.001,0.000,0.001,351.101,0.272,
3.683,4.092,1.229,6.103,0.143,2.176,0.003,0.001,0.003,342.997,-0.456,
3.855,4.092,1.229,6.038,0.087,2.244,0.001,-0.001,0.001,220.805,0.398,
3.997,4.091,1.229,6.112,0.144,2.216,-0.001,0.000,0.001,62.266,-0.197,
4.141,4.092,1.229,6.186,0.313,2.120,0.000,0.002,0.002,282.737,-0.667,
4.299,4.092,1.229,5.981,0.097,2.152,0.002,-0.000,0.002,259.959,0.200,
4.464,4.092,1.230,6.002,2.289,2.055,0.000,0.002,0.002,273.625,-0.582,
4.648,4.092,1.230,6.028,2.889,2.044,-0.000,0.000,0.000,17.925,-0.061,
4.794,4.092,1.230,6.129,2.640,1.918,0.002,0.002,0.003,311.537,-0.869,
4.944,4.094,1.233,6.226,0.872,0.207,0.010,0.022,0.024,294.325,-11.364,
5.094,4.097,1.241,6.943,1.816,-2.793,0.025,0.049,0.055,297.151,-20.095,
5.242,4.098,1.241,6.952,1.866,-3.171,0.002,0.005,0.005,289.728,-2.550,
5.547,4.097,1.240,6.522,2.066,-2.697,-0.001,-0.004,0.004,107.108,1.554,
5.704,4.097,1.240,6.487,1.883,-2.703,-0.001,-0.000,0.001,176.871,-0.038,
5.876,4.097,1.240,6.504,2.277,-2.571,-0.002,-0.002,0.003,128.409,0.765,
6.050,4.097,1.240,6.380,1.899,-2.399,-0.001,-0.002,0.003,122.209,0.989,
6.221,4.097,1.240,6.575,1.953,-2.494,0.000,0.002,0.002,275.071,-0.553,
6.386,4.097,1.240,6.504,2.131,-2.464,0.001,-0.001,0.001,246.639,0.185,
6.537,4.098,1.240,6.597,2.218,-2.661,0.005,0.003,0.006,323.641,-1.306,
6.681,4.098,1.240,6.506,1.825,-2.592,0.001,-0.001,0.002,231.239,0.475,
6.815,4.098,1.240,6.578,1.872,-2.647,-0.000,0.001,0.001,4.380,-0.407,
6.975,4.098,1.241,6.450,2.082,-2.667,0.001,0.001,0.001,305.246,-0.128,
7.137,4.098,1.240,6.553,1.915,-2.619,0.002,-0.000,0.002,256.069,0.300,
7.283,4.098,1.241,6.615,1.933,-2.614,0.001,0.000,0.001,338.641,0.031,
7.437,4.105,1.245,5.520,0.414,-1.108,0.045,0.030,0.054,326.059,9.776,
7.589,4.157,1.263,20.148,5.140,-10.737,0.337,0.117,0.357,340.839,-63.286,
