Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
0,1.293,0,0.585,0.038,-0.118,0.572,0.228,-0.041,1.563,
1,1.392,0,0.617,0.046,-0.097,0.607,-0.058,-0.058,1.558,
2,1.563,0,0.627,0.049,-0.091,0.618,-0.291,-0.065,1.560,
3,1.663,0,0.632,0.053,-0.087,0.624,-0.279,-0.023,1.565,
4,1.759,0,0.633,0.058,-0.078,0.626,-0.238,-0.066,1.564,
5,1.874,0,0.635,0.063,-0.074,0.627,-0.180,-0.011,1.558,
6,1.982,0,0.634,0.066,-0.072,0.626,-0.154,-0.003,1.568,
7,2.082,0,0.636,0.071,-0.066,0.628,-0.130,-0.037,1.566,
8,2.197,0,0.637,0.072,-0.066,0.629,-0.136,-0.042,1.565,
9,2.295,0,0.637,0.072,-0.066,0.630,-0.152,-0.044,1.565,
10,2.397,0,0.638,0.073,-0.066,0.630,-0.148,-0.040,1.567,
11,2.499,0,0.638,0.074,-0.067,0.630,-0.154,-0.039,1.569,
12,2.610,0,0.638,0.074,-0.067,0.630,-0.149,-0.036,1.572,
13,2.724,0,0.637,0.074,-0.067,0.629,-0.128,-0.039,1.570,
14,2.826,0,0.637,0.074,-0.068,0.629,-0.128,-0.035,1.566,
15,2.954,0,0.636,0.074,-0.068,0.628,-0.143,-0.023,1.570,
16,3.073,0,0.635,0.075,-0.068,0.627,-0.120,-0.019,1.569,
17,3.216,0,0.635,0.075,-0.068,0.626,-0.109,-0.014,1.568,
18,3.332,0,0.639,0.074,-0.066,0.631,-0.126,0.057,1.604,
19,3.451,0,0.637,0.073,-0.050,0.630,-0.147,0.204,2.004,
20,3.577,0,0.629,0.080,-0.041,0.622,0.062,0.151,2.346,
21,3.699,0,0.628,0.085,-0.038,0.621,-0.059,0.148,2.582,
22,3.817,0,0.624,0.091,-0.040,0.616,-0.070,0.162,2.762,
23,3.947,0,0.623,0.096,-0.043,0.614,-0.069,0.161,2.876,
24,4.073,0,0.624,0.101,-0.043,0.614,-0.041,0.160,2.918,
25,4.204,0,0.626,0.102,-0.043,0.616,-0.032,0.176,2.944,
26,4.347,0,0.631,0.102,-0.043,0.621,-0.099,0.200,2.974,
27,4.470,0,0.634,0.103,-0.044,0.624,-0.127,0.241,3.001,
28,4.602,0,0.635,0.102,-0.043,0.626,-0.118,0.221,2.996,
29,4.725,0,0.635,0.102,-0.043,0.625,-0.113,0.237,3.002,
30,4.850,0,0.637,0.103,-0.044,0.627,-0.131,0.243,3.013,
31,4.971,0,0.637,0.104,-0.045,0.627,-0.133,0.237,3.012,
32,5.099,0,0.638,0.104,-0.045,0.628,-0.122,0.231,3.006,
33,5.251,0,0.639,0.105,-0.045,0.629,-0.146,0.245,3.013,
34,5.370,0,0.640,0.105,-0.044,0.630,-0.143,0.234,2.989,
