Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
5.664,3.980,1.113,-17.117,-5.166,90.595,0.703,0.197,0.730,344.377,15.994,
5.795,4.019,1.040,-4.783,-2.135,94.678,0.295,-0.562,0.635,207.749,31.220,
5.927,4.028,1.020,-4.198,-5.192,95.509,0.070,-0.150,0.165,205.019,6.289,
6.050,4.027,1.002,-13.028,-10.231,93.893,-0.006,-0.147,0.147,92.452,-13.168,
6.177,4.027,0.999,-12.322,-9.353,94.025,0.001,-0.023,0.023,181.592,1.038,
6.315,4.020,1.010,-12.219,-9.557,93.254,-0.055,0.081,0.098,34.137,-5.609,
6.443,4.017,1.014,-13.969,-9.701,92.861,-0.020,0.032,0.038,32.156,-3.073,
6.573,4.019,1.013,-12.748,-9.080,93.224,0.013,-0.006,0.014,245.165,2.793,
6.709,4.019,1.015,-12.483,-8.632,93.279,0.002,0.010,0.010,280.428,0.405,
6.846,4.018,1.016,-12.776,-8.831,93.040,-0.011,0.010,0.014,48.114,-1.748,
6.974,4.019,1.014,-12.460,-8.865,93.180,0.013,-0.014,0.019,223.077,1.091,
7.104,4.019,1.015,-12.822,-8.768,93.084,-0.004,0.007,0.008,32.246,-0.739,
7.239,4.015,1.020,-13.952,-9.198,92.567,-0.028,0.035,0.045,37.929,-3.825,
7.374,4.014,1.021,-13.928,-8.928,92.512,-0.006,0.010,0.012,31.581,-0.407,
7.512,4.011,1.025,-14.427,-9.015,92.132,-0.022,0.029,0.036,37.717,-2.751,
7.644,4.010,1.026,-14.852,-9.160,91.993,-0.006,0.008,0.010,38.352,-1.054,
7.773,4.010,1.026,-14.571,-9.112,91.989,-0.001,0.001,0.002,51.808,-0.029,
7.913,4.010,1.027,-14.693,-9.163,91.890,-0.004,0.006,0.007,37.389,-0.704,
8.039,4.008,1.028,-15.037,-9.411,91.676,-0.012,0.009,0.015,53.188,-1.707,
8.166,4.009,1.028,-14.998,-9.427,91.654,0.004,0.001,0.004,345.597,-0.172,
8.287,4.008,1.027,-15.489,-9.712,91.586,-0.001,-0.012,0.012,94.406,-0.562,
8.414,4.008,1.028,-16.094,-9.866,91.406,-0.006,0.006,0.008,43.421,-1.412,
8.547,4.007,1.029,-14.953,-9.643,91.508,-0.008,0.010,0.012,39.753,0.767,
8.671,4.005,1.032,-16.043,-9.909,91.142,-0.015,0.023,0.027,33.120,-2.961,
8.803,4.005,1.032,-16.153,-9.963,91.075,-0.003,0.004,0.005,36.408,-0.506,
8.924,4.004,1.032,-15.449,-9.905,91.168,-0.002,-0.006,0.006,107.668,0.768,
9.052,4.004,1.032,-16.322,-10.110,91.019,-0.001,0.003,0.003,15.751,-1.162,
9.185,4.005,1.032,-16.029,-9.915,91.068,0.003,0.001,0.003,338.191,0.361,
9.315,4.004,1.034,-16.026,-9.874,91.004,-0.007,0.012,0.014,31.448,-0.494,
9.449,4.003,1.034,-16.055,-9.893,90.973,-0.002,0.004,0.004,24.876,-0.227,
9.581,4.004,1.034,-16.059,-9.776,90.959,0.001,0.001,0.002,298.011,-0.107,
9.704,4.003,1.035,-15.819,-9.657,90.994,-0.002,0.007,0.007,11.908,0.284,
9.842,4.003,1.036,-15.791,-9.698,90.943,-0.002,0.006,0.006,18.681,-0.368,
9.979,4.002,1.036,-15.812,-9.740,90.877,-0.005,-0.001,0.006,168.376,-0.483,
10.105,4.002,1.036,-15.770,-9.817,90.851,-0.003,0.000,0.003,81.824,-0.206,
10.246,4.001,1.037,-15.957,-9.976,90.708,-0.008,0.010,0.012,37.317,-1.014,
10.371,4.000,1.038,-15.805,-9.915,90.688,-0.003,0.005,0.006,37.368,-0.156,
10.501,4.001,1.038,-15.997,-9.964,90.735,0.001,-0.002,0.002,212.808,0.362,
10.634,4.000,1.037,-14.811,-9.853,90.916,-0.002,-0.004,0.005,116.364,1.360,
10.766,4.001,1.038,-15.960,-9.835,90.735,0.002,0.005,0.005,292.545,-1.362,
10.893,4.000,1.039,-15.933,-9.868,90.686,-0.003,0.007,0.007,23.405,-0.390,
11.020,4.000,1.039,-16.221,-10.021,90.582,-0.001,0.006,0.006,14.185,-0.817,
11.145,4.000,1.040,-15.992,-9.782,90.585,-0.004,0.007,0.008,30.415,0.025,
11.280,3.999,1.040,-15.954,-9.711,90.597,-0.002,0.001,0.002,58.234,0.086,
11.427,3.998,1.041,-16.333,-10.013,90.490,-0.006,0.003,0.006,64.730,-0.726,
11.560,3.998,1.041,-16.109,-9.878,90.476,-0.001,-0.000,0.001,161.247,-0.105,
11.688,3.997,1.042,-15.803,-9.701,90.474,-0.008,0.007,0.011,47.299,-0.010,
11.821,3.997,1.042,-16.058,-9.878,90.395,-0.000,0.000,0.000,5.639,-0.596,
11.954,3.996,1.044,-16.504,-9.981,90.201,-0.012,0.018,0.021,34.586,-1.463,
12.099,3.996,1.044,-15.571,-9.291,90.385,0.004,-0.002,0.004,248.198,1.264,
