Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
0.890,3.899,1.389,3.697,-33.217,6.785,4.383,1.561,4.653,340.398,7.627,
1.131,3.949,1.466,-14.414,-23.787,-0.231,0.208,0.323,0.384,302.753,-29.106,
1.305,3.964,1.483,-17.114,-21.745,-1.374,0.087,0.095,0.129,312.238,-6.561,
1.438,3.975,1.500,-18.519,-18.747,-1.448,0.084,0.131,0.156,302.748,-0.555,
1.556,3.975,1.494,-16.992,-17.635,-0.310,-0.002,-0.055,0.055,92.610,9.642,
1.676,3.971,1.490,-14.806,-17.436,0.673,-0.029,-0.036,0.046,129.275,8.147,
1.794,3.967,1.487,-14.592,-17.890,0.896,-0.036,-0.027,0.045,143.205,1.896,
1.913,3.960,1.480,-12.036,-18.817,1.876,-0.065,-0.055,0.085,139.324,8.233,
2.043,3.958,1.478,-12.873,-18.601,1.967,-0.011,-0.016,0.019,124.255,0.698,
2.163,3.961,1.478,-13.187,-18.348,1.801,0.026,0.004,0.026,350.794,-1.393,
2.286,3.957,1.473,-12.316,-18.486,2.402,-0.033,-0.041,0.053,128.910,4.864,
2.409,3.955,1.472,-11.969,-18.697,2.639,-0.015,-0.012,0.019,140.897,1.926,
2.537,3.954,1.472,-13.073,-18.094,2.651,-0.010,-0.003,0.010,165.031,0.090,
2.659,3.950,1.467,-10.500,-19.322,3.401,-0.031,-0.036,0.048,130.468,6.171,
2.783,3.950,1.467,-10.721,-19.343,3.412,-0.006,-0.004,0.007,144.802,0.089,
2.906,3.951,1.468,-12.540,-18.565,2.985,0.013,0.015,0.020,312.480,-3.453,
3.026,3.949,1.468,-10.921,-19.261,3.391,-0.020,-0.007,0.021,159.799,3.380,
3.143,3.947,1.466,-10.516,-19.436,3.614,-0.017,-0.015,0.023,139.153,1.901,
3.262,3.948,1.468,-12.004,-18.802,3.318,0.007,0.015,0.016,294.263,-2.487,
3.388,3.946,1.466,-10.956,-19.239,3.643,-0.014,-0.012,0.019,139.788,2.587,
3.503,3.945,1.466,-10.651,-19.306,3.717,-0.006,-0.000,0.006,177.491,0.649,
3.630,3.946,1.466,-11.433,-19.035,3.540,0.010,0.003,0.010,343.387,-1.392,
3.769,3.948,1.469,-11.536,-18.790,3.382,0.010,0.021,0.023,296.585,-1.136,
3.918,3.947,1.468,-11.214,-19.144,3.513,-0.004,-0.009,0.010,111.874,0.878,
4.052,3.948,1.466,-10.655,-19.229,3.699,0.002,-0.016,0.016,186.251,1.388,
4.214,3.948,1.468,-11.974,-18.611,3.427,0.004,0.015,0.016,285.763,-1.686,
4.340,3.947,1.467,-11.478,-18.929,3.668,-0.013,-0.012,0.018,137.599,1.912,
