Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
0,0.889,0,1.258,0.196,-0.196,1.227,0.065,-0.580,0.118,
1,1.131,0,1.412,0.169,-0.249,1.379,-0.252,-0.415,-0.004,
2,1.305,0,1.433,0.159,-0.262,1.400,-0.299,-0.380,-0.024,
3,1.438,0,1.448,0.149,-0.280,1.413,-0.323,-0.327,-0.025,
4,1.556,0,1.435,0.144,-0.276,1.401,-0.297,-0.308,-0.005,
5,1.676,0,1.427,0.142,-0.274,1.393,-0.258,-0.304,0.012,
6,1.794,0,1.421,0.146,-0.272,1.387,-0.255,-0.312,0.016,
7,1.913,0,1.413,0.149,-0.268,1.379,-0.210,-0.328,0.033,
8,2.043,0,1.415,0.150,-0.266,1.381,-0.225,-0.325,0.034,
9,2.163,0,1.413,0.147,-0.266,1.380,-0.230,-0.320,0.031,
10,2.286,0,1.411,0.149,-0.263,1.378,-0.215,-0.323,0.042,
11,2.409,0,1.409,0.150,-0.262,1.376,-0.209,-0.326,0.046,
12,2.537,0,1.409,0.151,-0.262,1.376,-0.228,-0.316,0.046,
13,2.658,0,1.405,0.152,-0.260,1.372,-0.183,-0.337,0.059,
14,2.782,0,1.406,0.152,-0.259,1.373,-0.187,-0.338,0.060,
15,2.906,0,1.407,0.152,-0.260,1.374,-0.219,-0.324,0.052,
16,3.026,0,1.403,0.153,-0.260,1.371,-0.191,-0.336,0.059,
17,3.143,0,1.403,0.154,-0.259,1.371,-0.184,-0.339,0.063,
18,3.262,0,1.404,0.155,-0.260,1.371,-0.210,-0.328,0.058,
19,3.388,0,1.401,0.155,-0.259,1.368,-0.191,-0.336,0.064,
20,3.502,0,1.400,0.155,-0.260,1.367,-0.186,-0.337,0.065,
21,3.630,0,1.399,0.155,-0.259,1.366,-0.200,-0.332,0.062,
22,3.769,0,1.399,0.154,-0.262,1.366,-0.201,-0.328,0.059,
23,3.918,0,1.398,0.154,-0.261,1.364,-0.196,-0.334,0.061,
24,4.052,0,1.397,0.153,-0.259,1.364,-0.186,-0.336,0.065,
25,4.213,0,1.398,0.153,-0.261,1.365,-0.209,-0.325,0.060,
26,4.340,0,1.397,0.154,-0.260,1.364,-0.200,-0.330,0.064,
