Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
25.529,4.054,1.281,6.269,-12.258,-11.537,-0.030,-0.005,0.030,170.921,42.879,
25.654,4.051,1.281,7.139,-12.331,-10.079,-0.021,0.005,0.021,77.605,11.582,
25.781,4.045,1.284,5.256,-12.300,-11.588,-0.051,0.020,0.054,68.890,-11.959,
26.011,4.041,1.287,5.125,-13.810,-12.534,-0.015,0.012,0.020,51.474,-4.102,
26.127,4.040,1.288,3.563,-13.047,-12.897,-0.011,0.010,0.015,46.023,-3.146,
26.249,4.040,1.291,6.018,-11.376,-12.204,-0.004,0.024,0.024,9.113,5.641,
26.374,4.043,1.294,3.218,-11.393,-12.513,0.026,0.025,0.036,316.270,-2.477,
26.499,4.043,1.296,1.040,-11.732,-12.386,-0.001,0.019,0.019,3.760,1.020,
26.611,4.037,1.301,0.964,-12.226,-11.773,-0.056,0.045,0.072,50.974,5.489,
26.754,4.023,1.303,2.485,-12.046,-10.318,-0.092,0.013,0.093,81.777,10.191,
26.910,4.011,1.307,4.228,-8.864,-9.068,-0.079,0.026,0.084,71.875,8.009,
27.257,3.974,1.290,-0.061,-2.376,-0.372,-0.107,-0.049,0.117,155.421,25.051,
