Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
2.047,4.076,1.279,3.073,-12.587,-4.047,1.992,0.625,2.087,342.577,-1.978,
2.158,4.079,1.279,-1.128,-9.573,-4.589,0.023,-0.004,0.023,260.820,-4.845,
2.252,4.080,1.271,-4.756,-0.934,-1.234,0.013,-0.078,0.079,189.336,35.704,
2.355,4.081,1.268,-4.075,-1.479,0.649,0.008,-0.038,0.039,191.543,18.416,
2.469,4.078,1.267,-1.148,-9.373,0.499,-0.022,-0.004,0.022,170.168,-1.304,
2.572,4.078,1.267,-1.829,-13.499,-0.156,-0.005,0.000,0.005,87.080,-6.345,
2.666,4.078,1.265,-0.790,-11.113,0.098,0.004,-0.021,0.021,189.618,2.706,
2.764,4.078,1.265,-0.689,-11.281,0.296,-0.002,-0.002,0.003,143.509,2.016,
2.866,4.078,1.266,-1.000,-11.041,0.202,-0.002,0.006,0.007,20.956,-0.913,
2.960,4.077,1.266,-0.213,-11.215,0.412,-0.007,0.001,0.007,84.920,2.251,
3.057,4.077,1.266,-0.426,-10.716,0.406,-0.002,0.002,0.003,39.378,-0.059,
3.162,4.077,1.266,-0.397,-10.878,0.525,-0.001,0.002,0.002,21.097,1.123,
3.257,4.077,1.266,-0.667,-10.952,0.565,0.000,0.003,0.003,272.850,0.429,
3.359,4.077,1.266,-0.724,-10.759,0.581,0.004,-0.001,0.004,251.502,0.150,
3.461,4.077,1.266,-0.443,-10.739,0.563,0.001,0.001,0.001,312.366,-0.176,
3.651,4.078,1.267,-0.412,-10.989,0.532,0.003,0.002,0.003,330.897,-0.164,
3.758,4.078,1.267,-0.243,-11.089,0.528,0.001,-0.001,0.002,228.269,-0.030,
3.858,4.078,1.267,-0.158,-10.992,0.521,0.002,0.002,0.003,318.991,-0.071,
3.957,4.078,1.267,-0.047,-11.280,0.523,-0.002,0.001,0.002,52.850,0.019,
4.056,4.078,1.267,-0.291,-11.037,0.520,0.001,-0.001,0.001,218.684,-0.032,
4.168,4.078,1.267,-0.045,-11.310,0.548,-0.001,-0.000,0.001,169.028,0.253,
4.269,4.078,1.267,-0.435,-11.172,0.473,0.000,0.001,0.001,293.126,-0.738,
4.365,4.078,1.267,-0.202,-11.334,0.540,-0.001,-0.003,0.003,112.977,0.701,
4.478,4.078,1.267,-0.375,-11.389,0.526,-0.000,-0.001,0.001,101.022,-0.124,
4.579,4.078,1.267,-0.492,-11.319,0.490,0.000,0.003,0.003,279.988,-0.355,
4.681,4.078,1.267,-0.376,-11.264,0.467,0.002,-0.001,0.002,235.178,-0.228,
4.792,4.078,1.267,-0.300,-11.650,0.502,-0.001,0.000,0.001,71.803,0.316,
4.901,4.078,1.267,-0.326,-11.208,0.450,0.001,0.001,0.002,322.238,-0.478,
5.002,4.078,1.267,-0.926,-10.201,0.314,0.001,0.001,0.002,318.247,-1.336,
5.110,4.078,1.267,-0.803,-10.633,0.368,-0.002,-0.002,0.003,131.024,0.496,
5.219,4.078,1.266,-0.504,-10.661,0.335,-0.000,-0.002,0.002,96.193,-0.298,
5.315,4.078,1.267,-1.000,-10.525,0.268,0.002,0.003,0.003,301.271,-0.697,
5.423,4.078,1.267,-2.113,-9.430,0.266,-0.001,0.004,0.004,12.652,-0.022,
5.525,4.077,1.268,-3.594,-9.123,0.376,-0.005,0.005,0.007,42.397,1.087,
5.632,4.079,1.282,-17.108,-20.188,-1.715,0.010,0.135,0.135,274.327,-19.447,
