Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
3.486,4.291,1.024,-3.994,20.934,-176.192,1.231,0.294,1.266,346.582,-50.544,
3.610,4.311,1.032,-3.843,17.933,-176.766,0.159,0.066,0.172,337.412,-4.627,
3.736,4.323,1.040,-2.823,16.758,-176.419,0.092,0.065,0.113,324.953,2.759,
3.859,4.329,1.043,-3.181,17.232,-176.488,0.054,0.026,0.060,334.370,-0.563,
3.993,4.331,1.046,-3.978,17.611,-176.207,0.013,0.017,0.021,308.380,2.099,
4.142,4.331,1.045,-3.639,17.754,-176.305,-0.001,-0.002,0.002,125.313,-0.660,
4.271,4.337,1.052,-3.853,17.928,-175.642,0.046,0.054,0.071,310.480,5.117,
4.402,4.341,1.057,-3.765,17.961,-175.154,0.027,0.035,0.044,308.027,3.728,
4.533,4.339,1.056,-3.680,17.762,-175.189,-0.008,-0.005,0.010,151.458,-0.263,
4.659,4.339,1.056,-3.680,17.772,-175.187,-0.003,0.000,0.003,89.034,0.011,
4.786,4.338,1.057,-3.503,18.427,-174.879,-0.008,0.004,0.009,62.314,2.428,
4.915,4.335,1.053,-3.634,17.343,-175.406,-0.024,-0.028,0.037,129.819,-4.071,
5.041,4.322,1.042,-4.727,16.743,-176.166,-0.106,-0.086,0.136,141.126,-6.022,
