Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
0,1.769,0,1.321,0.087,-0.137,1.311,-0.254,0.026,1.566,
1,1.901,0,1.424,0.080,-0.140,1.415,-0.168,0.105,1.523,
2,2.030,0,1.405,0.080,-0.117,1.398,-0.244,0.075,1.535,
3,2.168,0,1.394,0.081,-0.101,1.388,-0.312,0.062,1.555,
4,2.297,0,1.388,0.084,-0.087,1.383,-0.309,0.054,1.559,
5,2.420,0,1.391,0.086,-0.080,1.386,-0.300,0.048,1.558,
6,2.548,0,1.395,0.086,-0.079,1.390,-0.288,0.050,1.557,
7,2.685,0,1.398,0.086,-0.075,1.393,-0.295,0.051,1.554,
8,2.814,0,1.402,0.087,-0.074,1.397,-0.301,0.055,1.550,
9,2.950,0,1.406,0.088,-0.075,1.401,-0.297,0.056,1.552,
10,3.082,0,1.407,0.091,-0.074,1.402,-0.290,0.057,1.561,
11,3.209,0,1.409,0.091,-0.071,1.404,-0.276,0.115,1.617,
12,3.332,0,1.408,0.083,-0.019,1.405,-0.165,0.201,1.899,
13,3.454,0,1.398,0.091,0.005,1.395,-0.028,0.255,2.223,
14,3.573,0,1.381,0.115,-0.006,1.376,0.081,0.251,2.477,
15,3.688,0,1.371,0.151,-0.019,1.362,0.083,0.239,2.792,
16,3.808,0,1.395,0.184,-0.021,1.382,0.183,0.245,2.975,
17,3.923,0,1.413,0.195,-0.045,1.399,0.254,0.269,2.999,
18,4.174,0,1.387,0.208,-0.072,1.370,0.377,0.297,3.001,
19,4.296,0,1.369,0.211,-0.059,1.352,0.420,0.094,3.049,
20,4.417,0,1.339,0.206,-0.053,1.322,0.271,0.069,3.074,
21,4.546,0,1.348,0.214,-0.054,1.330,0.300,0.066,3.073,
22,4.674,0,1.353,0.221,-0.054,1.333,0.326,0.096,3.069,
23,4.790,0,1.341,0.217,-0.052,1.322,0.277,0.081,3.074,
24,4.902,0,1.348,0.221,-0.053,1.329,0.293,0.091,3.071,
25,5.024,0,1.348,0.222,-0.052,1.328,0.305,0.082,3.071,
26,5.142,0,1.334,0.221,-0.050,1.314,0.300,0.042,3.075,
27,5.277,0,1.334,0.240,-0.043,1.312,0.295,0.058,3.082,
28,5.396,0,1.335,0.280,-0.031,1.305,0.204,0.175,3.106,
29,5.528,0,1.332,0.316,-0.024,1.293,0.201,0.208,3.129,
30,5.654,0,1.327,0.372,-0.015,1.274,0.156,0.277,-3.121,
31,5.791,0,1.336,0.397,-0.008,1.276,0.146,0.266,-3.111,
32,6.370,0,1.367,0.196,0.064,1.351,-0.486,0.088,1.660,
33,6.499,0,1.398,0.172,0.074,1.385,-0.455,-0.020,1.529,
34,6.647,0,1.424,0.159,0.096,1.412,-0.410,-0.134,1.398,
35,6.794,0,1.422,0.142,0.087,1.413,-0.414,-0.167,1.354,
36,6.940,0,1.403,0.136,0.077,1.394,-0.425,-0.187,1.327,
37,7.085,0,1.393,0.140,0.066,1.385,-0.415,-0.178,1.318,
38,7.234,0,1.391,0.149,0.062,1.381,-0.424,-0.212,1.306,
39,7.377,0,1.389,0.159,0.061,1.379,-0.429,-0.211,1.322,
40,7.522,0,1.372,0.159,0.051,1.362,-0.418,-0.178,1.334,
41,7.663,0,1.365,0.154,0.049,1.355,-0.417,-0.167,1.340,
42,7.805,0,1.366,0.166,0.059,1.355,-0.442,-0.194,1.352,
43,7.940,0,1.371,0.173,0.056,1.359,-0.441,-0.178,1.355,
44,8.083,0,1.373,0.167,0.052,1.362,-0.420,-0.173,1.355,
45,8.228,0,1.378,0.169,0.057,1.366,-0.421,-0.172,1.355,
46,8.371,0,1.373,0.177,0.052,1.360,-0.422,-0.164,1.347,
47,8.514,0,1.380,0.170,0.056,1.368,-0.407,-0.168,1.354,
48,8.652,0,1.389,0.156,0.060,1.379,-0.441,-0.215,1.324,
