Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
0,3.225,0,0.500,0.064,-0.019,0.495,-0.086,-0.135,-0.118,
1,3.351,0,0.500,0.065,-0.020,0.496,-0.098,-0.101,-0.127,
2,3.464,0,0.497,0.065,-0.020,0.492,-0.182,-0.085,-0.139,
3,3.594,0,0.497,0.065,-0.020,0.493,-0.177,-0.087,-0.141,
4,3.725,0,0.499,0.066,-0.021,0.494,-0.135,-0.095,-0.135,
5,3.845,0,0.498,0.066,-0.021,0.493,-0.144,-0.114,-0.133,
6,3.963,0,0.491,0.066,-0.021,0.487,-0.204,-0.111,-0.143,
7,4.091,0,0.491,0.064,-0.018,0.487,-0.207,-0.084,-0.173,
8,4.222,0,0.490,0.064,-0.016,0.486,-0.229,0.033,-0.203,
9,4.346,0,0.494,0.064,-0.016,0.489,-0.205,0.009,-0.203,
10,4.477,0,0.493,0.063,-0.015,0.489,-0.214,0.011,-0.205,
11,4.606,0,0.492,0.063,-0.016,0.488,-0.237,0.016,-0.204,
12,4.749,0,0.495,0.063,-0.016,0.491,-0.204,0.011,-0.207,
13,4.883,0,0.496,0.064,-0.016,0.491,-0.200,0.015,-0.206,
14,5.033,0,0.495,0.064,-0.016,0.491,-0.214,0.020,-0.206,
15,5.192,0,0.495,0.064,-0.016,0.491,-0.204,0.018,-0.205,
16,5.324,0,0.495,0.064,-0.016,0.491,-0.213,0.026,-0.203,
17,5.453,0,0.495,0.064,-0.016,0.491,-0.209,0.025,-0.205,
18,5.579,0,0.495,0.064,-0.016,0.491,-0.210,0.012,-0.204,
19,5.702,0,0.494,0.063,-0.016,0.490,-0.228,0.024,-0.205,
20,5.815,0,0.494,0.066,-0.018,0.490,-0.225,0.032,-0.195,
21,5.956,0,0.496,0.066,-0.017,0.491,-0.216,0.024,-0.198,
22,6.084,0,0.496,0.067,-0.017,0.491,-0.221,0.029,-0.196,
23,6.202,0,0.497,0.067,-0.017,0.492,-0.217,0.024,-0.196,
24,6.330,0,0.496,0.067,-0.017,0.492,-0.220,0.027,-0.195,
25,6.461,0,0.497,0.067,-0.017,0.492,-0.225,0.030,-0.193,
26,6.584,0,0.498,0.067,-0.016,0.493,-0.217,0.025,-0.193,
27,6.701,0,0.498,0.066,-0.017,0.493,-0.210,0.023,-0.193,
28,6.829,0,0.497,0.064,-0.018,0.492,-0.216,0.023,-0.197,
29,6.954,0,0.497,0.063,-0.018,0.493,-0.219,0.029,-0.203,
30,7.076,0,0.497,0.062,-0.019,0.493,-0.211,0.022,-0.207,
31,7.315,0,0.495,0.061,-0.020,0.491,-0.238,0.032,-0.207,
32,7.434,0,0.496,0.062,-0.019,0.491,-0.226,0.027,-0.207,
33,7.556,0,0.496,0.062,-0.019,0.491,-0.231,0.026,-0.207,
34,7.671,0,0.495,0.061,-0.019,0.491,-0.230,0.023,-0.207,
35,7.789,0,0.495,0.061,-0.019,0.491,-0.233,0.020,-0.206,
36,7.912,0,0.496,0.061,-0.019,0.491,-0.230,0.030,-0.207,
37,8.030,0,0.495,0.061,-0.019,0.491,-0.231,0.022,-0.207,
38,8.163,0,0.496,0.061,-0.019,0.492,-0.227,0.023,-0.208,
39,8.283,0,0.496,0.061,-0.019,0.492,-0.229,0.029,-0.209,
40,8.397,0,0.496,0.061,-0.019,0.492,-0.230,0.023,-0.208,
41,8.523,0,0.496,0.061,-0.019,0.492,-0.225,0.021,-0.208,
42,8.643,0,0.496,0.062,-0.020,0.492,-0.225,0.031,-0.207,
43,8.763,0,0.496,0.062,-0.020,0.492,-0.237,0.032,-0.206,
44,8.889,0,0.496,0.062,-0.020,0.492,-0.228,0.031,-0.206,
45,9.004,0,0.497,0.063,-0.020,0.493,-0.226,0.024,-0.204,
46,9.120,0,0.497,0.064,-0.021,0.492,-0.256,0.043,-0.197,
47,9.473,0,0.496,0.065,-0.021,0.491,-0.228,0.024,-0.194,
48,9.610,0,0.497,0.065,-0.021,0.492,-0.216,0.023,-0.195,
49,9.727,0,0.496,0.065,-0.022,0.491,-0.222,0.029,-0.195,
50,9.850,0,0.495,0.064,-0.023,0.490,-0.238,0.036,-0.198,
51,9.975,0,0.495,0.063,-0.023,0.491,-0.230,0.031,-0.199,
52,10.094,0,0.496,0.062,-0.023,0.491,-0.227,0.030,-0.202,
53,10.219,0,0.496,0.063,-0.024,0.491,-0.223,0.029,-0.201,
54,10.339,0,0.494,0.062,-0.024,0.489,-0.243,0.038,-0.203,
55,10.456,0,0.494,0.062,-0.024,0.489,-0.242,0.036,-0.203,
56,10.572,0,0.497,0.063,-0.023,0.493,-0.164,0.025,-0.209,
57,10.694,0,0.494,0.062,-0.024,0.489,-0.227,0.033,-0.204,
58,10.812,0,0.493,0.061,-0.024,0.489,-0.245,0.037,-0.204,
59,10.931,0,0.494,0.061,-0.024,0.489,-0.234,0.036,-0.205,
60,11.044,0,0.494,0.061,-0.024,0.490,-0.235,0.035,-0.205,
61,11.168,0,0.494,0.061,-0.024,0.489,-0.237,0.037,-0.204,
62,11.284,0,0.494,0.062,-0.024,0.489,-0.235,0.035,-0.204,
63,11.399,0,0.494,0.062,-0.024,0.489,-0.236,0.033,-0.204,
64,11.519,0,0.494,0.062,-0.025,0.489,-0.240,0.035,-0.204,
65,11.641,0,0.493,0.063,-0.025,0.488,-0.240,0.039,-0.201,
66,11.766,0,0.494,0.063,-0.025,0.489,-0.239,0.035,-0.200,
67,11.901,0,0.495,0.064,-0.025,0.490,-0.228,0.034,-0.198,
68,12.049,0,0.496,0.065,-0.024,0.491,-0.237,0.036,-0.193,
69,12.225,0,0.496,0.066,-0.024,0.491,-0.234,0.032,-0.191,
70,12.392,0,0.496,0.067,-0.024,0.491,-0.227,0.034,-0.187,
71,12.562,0,0.495,0.067,-0.024,0.490,-0.230,0.036,-0.187,
72,12.746,0,0.494,0.067,-0.025,0.489,-0.229,0.032,-0.189,
73,12.869,0,0.492,0.067,-0.027,0.487,-0.241,0.035,-0.190,
74,12.998,0,0.491,0.069,-0.029,0.486,-0.229,0.046,-0.184,
75,13.125,0,0.491,0.067,-0.030,0.486,-0.237,0.050,-0.189,
76,13.241,0,0.490,0.066,-0.030,0.485,-0.244,0.052,-0.190,
77,13.363,0,0.491,0.066,-0.030,0.485,-0.237,0.046,-0.188,
78,13.486,0,0.491,0.066,-0.031,0.485,-0.241,0.047,-0.187,
79,13.600,0,0.491,0.066,-0.030,0.486,-0.245,0.044,-0.188,
80,13.724,0,0.492,0.067,-0.030,0.487,-0.226,0.043,-0.187,
81,13.845,0,0.490,0.065,-0.031,0.485,-0.251,0.047,-0.187,
82,13.966,0,0.491,0.065,-0.030,0.485,-0.250,0.043,-0.189,
83,14.094,0,0.492,0.068,-0.031,0.486,-0.243,0.045,-0.186,
84,14.227,0,0.492,0.068,-0.031,0.486,-0.229,0.048,-0.186,
85,14.346,0,0.491,0.066,-0.030,0.486,-0.244,0.040,-0.188,
86,14.521,0,0.491,0.066,-0.031,0.486,-0.242,0.045,-0.188,
87,14.649,0,0.492,0.065,-0.031,0.487,-0.240,0.047,-0.190,
88,14.771,0,0.492,0.066,-0.031,0.487,-0.237,0.047,-0.188,
89,14.891,0,0.491,0.066,-0.031,0.485,-0.247,0.050,-0.187,
90,15.006,0,0.491,0.066,-0.032,0.485,-0.243,0.051,-0.186,
91,15.134,0,0.491,0.066,-0.032,0.485,-0.242,0.049,-0.186,
92,15.268,0,0.490,0.065,-0.032,0.484,-0.249,0.051,-0.186,
93,15.409,0,0.490,0.066,-0.033,0.485,-0.241,0.047,-0.185,
94,15.559,0,0.490,0.066,-0.032,0.485,-0.245,0.051,-0.186,
95,15.699,0,0.490,0.066,-0.033,0.485,-0.239,0.051,-0.186,
96,15.838,0,0.490,0.066,-0.033,0.485,-0.248,0.048,-0.185,
97,15.980,0,0.491,0.071,-0.038,0.484,-0.258,0.049,-0.173,
98,16.121,0,0.492,0.075,-0.039,0.485,-0.243,0.050,-0.166,
99,16.259,0,0.493,0.078,-0.042,0.485,-0.241,0.048,-0.155,
100,16.411,0,0.495,0.088,-0.050,0.484,-0.247,-0.051,-0.126,
