Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
0,6.125,0,1.612,0.196,-0.128,1.595,-0.165,0.114,3.050,
1,6.183,0,1.636,0.229,-0.122,1.615,0.390,0.075,2.956,
2,6.246,0,1.653,0.243,-0.116,1.631,0.284,0.229,2.961,
3,6.305,0,1.700,0.261,-0.100,1.677,0.316,0.048,2.996,
4,6.367,0,1.724,0.272,-0.092,1.699,0.018,0.153,3.010,
5,6.425,0,1.718,0.278,-0.091,1.693,0.204,0.016,2.969,
6,6.485,0,1.720,0.281,-0.091,1.695,0.127,0.062,2.978,
7,6.547,0,1.718,0.281,-0.088,1.693,0.210,0.069,2.979,
8,6.607,0,1.718,0.283,-0.087,1.692,0.081,0.047,2.994,
9,6.686,0,1.713,0.281,-0.090,1.688,0.034,0.016,3.024,
10,6.748,0,1.717,0.253,-0.107,1.695,-0.025,-0.089,-2.922,
11,6.813,0,1.697,0.231,-0.123,1.677,0.040,-0.091,-2.686,
12,6.935,0,1.668,0.299,-0.126,1.637,0.336,0.406,2.541,
13,7.115,0,1.672,0.236,-0.141,1.650,0.431,0.070,-2.786,
14,7.176,0,1.696,0.250,-0.140,1.672,-0.029,0.055,-2.916,
15,7.477,0,1.671,0.209,0.210,1.644,0.383,0.250,3.062,
16,7.540,0,1.676,0.210,0.205,1.650,0.383,0.240,3.066,
17,7.717,0,1.661,0.240,-0.056,1.643,0.257,0.167,-3.111,
18,7.778,0,1.650,0.177,-0.072,1.639,-0.137,-0.043,-2.969,
19,7.900,0,1.648,0.260,-0.111,1.624,0.491,0.092,-3.127,
20,7.961,0,1.642,0.287,-0.117,1.612,0.259,0.125,-3.109,
21,8.021,0,1.646,0.289,-0.113,1.617,0.112,0.005,-3.104,
22,8.083,0,1.652,0.282,-0.123,1.623,0.242,0.218,-3.106,
23,8.269,0,1.656,0.312,-0.269,1.604,0.083,-0.155,2.803,
24,8.328,0,1.658,0.307,-0.277,1.605,0.055,-0.086,2.790,
25,8.392,0,1.656,0.301,-0.271,1.605,0.076,-0.011,2.776,
26,8.452,0,1.645,0.292,-0.259,1.598,0.079,0.089,2.810,
27,8.514,0,1.644,0.292,-0.257,1.597,0.094,0.072,2.818,
28,8.576,0,1.643,0.295,-0.258,1.596,-0.078,0.046,2.825,
29,8.638,0,1.642,0.292,-0.256,1.596,-0.079,0.047,2.855,
30,8.699,0,1.632,0.287,-0.257,1.586,0.057,0.079,2.882,
31,8.759,0,1.640,0.289,-0.253,1.595,0.186,0.082,2.881,
32,8.881,0,1.626,0.241,-0.173,1.599,0.574,-0.301,-3.029,
33,8.945,0,1.582,0.214,-0.147,1.560,0.773,-0.577,-2.807,
34,11.508,0,0.752,0.108,0.043,0.743,0.116,-0.407,-1.600,
35,11.567,0,0.742,0.120,0.046,0.731,0.121,-0.406,-1.541,
36,11.626,0,0.749,0.132,0.058,0.735,0.211,-0.330,-1.484,
37,11.683,0,0.764,0.133,0.090,0.747,0.418,-0.320,-1.439,
38,11.798,0,0.776,0.128,0.135,0.753,0.358,-0.322,-1.483,
39,11.859,0,0.777,0.126,0.146,0.753,0.270,-0.325,-1.528,
40,11.922,0,0.776,0.124,0.153,0.750,0.106,-0.292,-1.617,
41,11.979,0,0.773,0.123,0.153,0.748,0.059,-0.269,-1.638,
42,12.038,0,0.771,0.124,0.152,0.746,0.031,-0.260,-1.644,
43,12.095,0,0.771,0.124,0.151,0.746,0.032,-0.262,-1.641,
44,12.156,0,0.772,0.123,0.151,0.747,0.044,-0.256,-1.638,
45,12.215,0,0.772,0.123,0.150,0.747,0.041,-0.264,-1.640,
46,12.272,0,0.767,0.122,0.146,0.743,0.017,-0.275,-1.641,
47,12.331,0,0.763,0.121,0.144,0.740,-0.008,-0.282,-1.645,
48,12.388,0,0.759,0.120,0.144,0.736,-0.054,-0.305,-1.648,
49,12.449,0,0.758,0.121,0.145,0.734,-0.084,-0.342,-1.638,
50,12.506,0,0.749,0.126,0.147,0.724,-0.185,-0.412,-1.644,
51,12.562,0,0.743,0.125,0.148,0.717,-0.242,-0.436,-1.668,
52,12.618,0,0.724,0.120,0.149,0.698,-0.335,-0.505,-1.731,
53,12.672,0,0.717,0.118,0.147,0.691,-0.379,-0.539,-1.769,
54,12.728,0,0.712,0.117,0.145,0.687,-0.412,-0.555,-1.794,
55,12.784,0,0.707,0.115,0.144,0.683,-0.444,-0.562,-1.814,
56,12.841,0,0.702,0.114,0.141,0.679,-0.482,-0.554,-1.829,
57,12.899,0,0.701,0.114,0.138,0.677,-0.498,-0.549,-1.836,
58,12.955,0,0.698,0.113,0.135,0.676,-0.517,-0.546,-1.843,
59,13.010,0,0.696,0.112,0.132,0.674,-0.539,-0.546,-1.854,
60,13.065,0,0.693,0.112,0.129,0.671,-0.568,-0.544,-1.869,
61,13.121,0,0.689,0.110,0.127,0.668,-0.605,-0.547,-1.890,
62,13.179,0,0.686,0.110,0.125,0.665,-0.643,-0.551,-1.910,
63,13.233,0,0.680,0.109,0.121,0.660,-0.698,-0.564,-1.946,
64,13.283,0,0.680,0.111,0.121,0.660,-0.715,-0.571,-1.960,
