Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
0,2.717,0,1.103,0.122,-0.095,1.092,-0.063,-0.251,-0.021,
1,2.832,0,1.137,0.105,-0.106,1.127,-0.016,-0.258,-0.004,
2,2.959,0,1.145,0.099,-0.110,1.135,0.003,-0.264,0.005,
3,3.075,0,1.141,0.097,-0.115,1.131,0.027,-0.263,0.014,
4,3.213,0,1.137,0.096,-0.117,1.127,0.049,-0.265,0.020,
5,3.335,0,1.135,0.097,-0.120,1.124,0.054,-0.265,0.023,
6,3.593,0,1.128,0.097,-0.123,1.117,0.066,-0.265,0.024,
7,3.715,0,1.125,0.096,-0.124,1.114,0.075,-0.266,0.025,
8,3.834,0,1.124,0.097,-0.124,1.113,0.069,-0.266,0.026,
9,3.964,0,1.123,0.098,-0.124,1.112,0.068,-0.267,0.027,
10,4.090,0,1.123,0.100,-0.124,1.111,0.068,-0.267,0.028,
11,4.204,0,1.123,0.100,-0.124,1.112,0.076,-0.259,0.031,
12,4.315,0,1.122,0.101,-0.124,1.111,0.059,-0.267,0.030,
13,4.444,0,1.119,0.103,-0.123,1.108,0.080,-0.272,0.039,
14,4.563,0,1.119,0.103,-0.122,1.108,0.075,-0.268,0.039,
15,4.679,0,1.121,0.104,-0.122,1.109,0.071,-0.263,0.038,
16,4.792,0,1.122,0.105,-0.121,1.110,0.060,-0.265,0.039,
17,5.018,0,1.119,0.108,-0.121,1.107,0.069,-0.264,0.046,
18,5.138,0,1.119,0.108,-0.121,1.107,0.063,-0.265,0.048,
19,5.266,0,1.119,0.110,-0.118,1.107,0.076,-0.251,0.044,
20,5.382,0,1.113,0.111,-0.117,1.101,0.073,-0.262,0.052,
21,5.505,0,1.113,0.112,-0.117,1.101,0.072,-0.262,0.055,
22,5.621,0,1.114,0.112,-0.117,1.103,0.068,-0.264,0.054,
23,5.740,0,1.116,0.114,-0.116,1.104,0.062,-0.263,0.056,
24,5.861,0,1.115,0.113,-0.114,1.103,0.065,-0.262,0.057,
