Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
4.305,3.920,1.224,-19.078,0.370,89.895,0.911,0.284,0.954,342.656,20.885,
4.431,3.915,1.226,-20.063,-0.407,90.063,-0.037,0.011,0.039,73.194,1.317,
5.283,3.920,1.223,-23.594,-0.045,90.443,0.006,-0.003,0.006,241.659,0.446,
5.417,3.937,1.221,-23.781,1.093,91.559,0.130,-0.012,0.130,264.810,8.350,
5.552,3.940,1.220,-23.142,0.489,91.859,0.023,-0.012,0.026,242.933,2.218,
5.679,3.940,1.219,-22.474,0.151,91.852,-0.005,-0.007,0.009,127.691,-0.051,
5.810,3.940,1.218,-23.256,0.310,91.826,0.004,-0.010,0.011,203.442,-0.199,
5.939,3.938,1.217,-23.256,0.545,91.999,-0.017,-0.002,0.017,173.129,1.332,
6.076,3.936,1.214,-22.958,0.379,92.302,-0.018,-0.026,0.032,124.003,2.222,
6.203,3.935,1.211,-23.220,0.404,92.403,-0.008,-0.019,0.020,113.145,0.792,
6.339,3.934,1.212,-23.201,0.529,92.387,-0.007,0.000,0.007,86.507,-0.115,
6.468,3.929,1.211,-22.379,0.946,92.500,-0.034,-0.000,0.034,179.462,0.876,
6.585,3.928,1.209,-22.832,0.567,92.502,-0.007,-0.017,0.018,110.946,0.014,
6.712,3.928,1.208,-23.229,0.343,92.648,-0.001,-0.013,0.013,95.468,1.148,
6.837,3.929,1.207,-23.098,0.395,92.674,0.006,-0.004,0.007,234.982,0.211,
6.964,3.928,1.207,-22.976,0.538,92.671,-0.010,-0.002,0.011,168.898,-0.021,
7.103,3.926,1.204,-22.425,0.239,92.990,-0.009,-0.019,0.021,115.947,2.291,
7.252,3.927,1.204,-22.940,0.192,93.040,0.007,-0.001,0.007,262.451,0.337,
7.381,3.928,1.206,-23.741,0.425,92.948,0.004,0.010,0.011,293.333,-0.713,
7.516,3.926,1.205,-22.759,0.334,93.118,-0.012,-0.004,0.013,160.871,1.265,
7.657,3.927,1.205,-22.598,-0.071,93.108,0.006,-0.004,0.007,239.547,-0.073,
7.803,3.944,1.206,-22.844,5.087,96.783,0.116,0.010,0.117,354.993,25.152,
7.967,4.043,1.219,-26.721,3.741,107.028,0.605,0.082,0.610,352.308,62.564,
8.104,4.073,1.222,-29.469,3.399,110.780,0.215,0.019,0.216,355.041,27.377,
8.249,4.084,1.224,-28.194,4.097,112.164,0.076,0.016,0.077,348.335,9.574,
8.385,4.081,1.223,-25.758,4.031,112.093,-0.019,-0.010,0.021,151.418,-0.518,
8.527,4.078,1.221,-26.461,4.296,112.047,-0.022,-0.016,0.028,144.057,-0.327,
8.669,4.078,1.221,-27.536,4.116,111.823,-0.002,0.000,0.002,87.696,-1.582,
8.797,4.074,1.222,-25.414,3.025,111.165,-0.029,0.010,0.031,71.743,-5.120,
8.937,4.071,1.222,-24.862,3.646,111.376,-0.019,0.004,0.020,76.883,1.503,
9.069,4.071,1.223,-26.394,4.233,111.536,-0.003,0.002,0.003,57.401,1.224,
9.197,4.069,1.221,-25.859,3.992,111.338,-0.017,-0.010,0.020,149.222,-1.540,
9.322,4.066,1.222,-25.407,4.171,111.404,-0.024,0.005,0.025,77.417,0.528,
9.459,4.066,1.221,-26.178,3.934,111.198,0.005,-0.010,0.011,208.440,-1.513,
9.587,4.067,1.219,-25.725,3.834,111.277,0.007,-0.015,0.016,205.275,0.613,
9.723,4.067,1.219,-25.855,3.982,111.220,0.000,0.003,0.003,274.481,-0.421,
9.853,4.063,1.218,-24.919,3.648,111.062,-0.035,-0.008,0.035,167.607,-1.210,
9.992,4.028,1.121,-14.385,-1.277,99.650,-0.253,-0.698,0.742,109.951,-82.071,
