Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
5.869,4.085,1.217,20.892,-25.967,7.438,0.696,0.207,0.726,343.414,1.267,
5.983,4.092,1.228,11.997,-20.353,2.799,0.061,0.099,0.117,301.667,-40.529,
6.108,4.097,1.239,1.752,-17.245,0.645,0.037,0.090,0.097,292.173,-17.313,
6.225,4.097,1.243,2.021,-15.608,1.746,0.000,0.033,0.033,270.530,9.380,
6.337,4.097,1.243,0.300,-15.879,1.641,0.002,0.001,0.003,333.638,-0.938,
6.457,4.096,1.240,1.306,-16.346,2.511,-0.003,-0.028,0.028,96.943,7.207,
6.573,4.097,1.242,3.070,-16.052,2.553,0.007,0.016,0.018,294.438,0.363,
6.685,4.098,1.244,1.510,-15.131,1.788,0.003,0.022,0.022,278.763,-6.801,
6.806,4.097,1.246,1.262,-14.880,1.336,-0.004,0.018,0.018,12.841,-3.755,
6.915,4.097,1.247,1.882,-14.996,1.373,-0.004,0.009,0.010,24.467,0.331,
7.025,4.096,1.248,2.196,-15.494,1.458,-0.009,0.001,0.009,80.576,0.778,
7.142,4.095,1.248,2.026,-16.316,1.106,-0.005,0.005,0.007,42.550,-2.992,
7.251,4.095,1.248,0.735,-16.633,0.986,-0.003,-0.000,0.003,170.943,-1.114,
7.364,4.094,1.248,1.076,-16.505,1.289,-0.007,-0.003,0.008,154.469,2.683,
7.488,4.093,1.247,1.988,-16.241,1.638,-0.005,-0.005,0.008,136.161,2.828,
7.610,4.094,1.247,1.354,-16.280,1.532,0.003,0.001,0.003,338.122,-0.868,
7.718,4.094,1.248,1.551,-15.862,1.531,0.001,0.003,0.003,282.377,-0.009,
7.833,4.094,1.248,1.246,-16.116,1.493,0.000,0.000,0.001,310.738,-0.333,
7.950,4.093,1.247,1.537,-16.025,1.655,-0.005,-0.002,0.005,158.362,1.399,
8.060,4.093,1.247,1.739,-16.140,1.720,-0.001,-0.002,0.002,115.016,0.586,
8.172,4.093,1.247,1.674,-15.407,1.708,-0.004,0.001,0.004,77.132,-0.102,
8.292,4.093,1.247,1.724,-15.713,1.766,-0.001,-0.000,0.001,163.552,0.480,
