Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
0,1.538,0,1.123,0.133,-0.126,1.108,0.085,0.306,-3.033,
1,1.669,0,1.175,0.114,-0.141,1.161,0.183,0.250,-3.061,
2,1.797,0,1.213,0.109,-0.146,1.199,0.191,0.230,-3.086,
3,1.926,0,1.214,0.111,-0.139,1.201,0.183,0.261,-3.102,
4,2.065,0,1.219,0.112,-0.133,1.206,0.139,0.260,-3.100,
5,2.192,0,1.216,0.111,-0.127,1.204,0.145,0.260,-3.094,
6,2.323,0,1.216,0.110,-0.125,1.205,0.137,0.252,-3.083,
7,2.447,0,1.217,0.109,-0.128,1.205,0.145,0.249,-3.085,
8,2.582,0,1.210,0.103,-0.129,1.199,0.132,0.245,-3.080,
9,2.717,0,1.202,0.097,-0.132,1.191,0.136,0.227,-3.082,
10,2.851,0,1.199,0.095,-0.135,1.188,0.153,0.186,-3.085,
11,3.138,0,1.127,0.091,-0.118,1.117,0.024,0.097,-3.074,
12,3.283,0,1.131,0.061,-0.121,1.123,0.100,0.124,-3.110,
13,3.444,0,1.121,0.059,-0.120,1.113,0.079,0.098,-3.112,
14,3.599,0,1.120,0.073,-0.126,1.111,0.084,0.100,-3.102,
15,3.746,0,1.113,0.069,-0.133,1.103,0.051,0.103,-3.103,
16,3.893,0,1.114,0.007,-0.158,1.103,-0.069,0.118,-3.085,
17,4.035,0,1.145,-0.045,-0.145,1.135,-0.021,0.158,-3.100,
18,4.184,0,1.154,-0.070,-0.122,1.145,-0.138,0.087,-3.096,
19,4.305,0,1.168,-0.055,-0.122,1.160,-0.200,0.082,-3.065,
20,4.426,0,1.158,-0.023,-0.135,1.149,-0.186,0.100,-3.047,
21,4.554,0,1.154,-0.014,-0.138,1.145,-0.139,0.106,-3.052,
22,4.675,0,1.132,-0.001,-0.139,1.124,-0.123,0.108,-3.048,
23,4.800,0,1.122,0.008,-0.142,1.113,-0.129,0.099,-3.038,
24,4.927,0,1.109,0.011,-0.143,1.100,-0.121,0.097,-3.036,
25,5.046,0,1.114,0.015,-0.143,1.104,-0.121,0.099,-3.031,
26,5.167,0,1.114,0.016,-0.141,1.105,-0.120,0.103,-3.030,
27,5.306,0,1.104,0.021,-0.144,1.094,-0.135,0.095,-3.020,
28,5.429,0,1.108,0.014,-0.147,1.099,-0.133,0.083,-3.023,
29,5.689,0,1.116,0.021,-0.153,1.105,-0.090,0.127,-3.027,
30,5.805,0,1.120,0.017,-0.151,1.109,-0.089,0.110,-3.029,
31,5.926,0,1.104,0.019,-0.148,1.094,-0.110,0.109,-3.027,
32,6.043,0,1.102,0.023,-0.150,1.092,-0.115,0.108,-3.025,
33,6.171,0,1.101,0.022,-0.151,1.091,-0.103,0.116,-3.030,
34,6.293,0,1.106,0.021,-0.151,1.095,-0.096,0.120,-3.031,
35,6.408,0,1.106,0.022,-0.151,1.096,-0.095,0.125,-3.030,
36,6.530,0,1.112,0.022,-0.152,1.101,-0.091,0.127,-3.028,
