Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
0.112,4.104,1.266,9.330,-11.345,1.676,36.720,11.323,38.426,342.862,14.997,
0.205,4.104,1.266,7.173,-10.275,1.570,-0.007,0.004,0.008,61.228,-1.146,
0.287,4.104,1.266,5.783,-8.851,1.245,0.005,-0.003,0.005,241.177,-3.939,
0.364,4.105,1.266,5.121,-7.243,0.840,0.011,-0.003,0.011,256.233,-5.269,
0.439,4.106,1.265,5.297,-6.214,0.492,0.012,-0.003,0.013,254.031,-4.651,
0.543,4.107,1.264,7.141,-5.659,0.166,0.013,-0.008,0.015,237.698,-3.138,
0.667,4.117,1.261,5.726,-6.593,-2.207,0.077,-0.025,0.081,252.270,-19.036,
0.785,4.118,1.260,5.825,-6.437,-2.679,0.013,-0.013,0.019,224.762,-4.018,
0.913,4.119,1.261,1.877,-8.332,-2.623,0.004,0.007,0.008,297.072,0.437,
1.030,4.122,1.260,0.015,-8.231,-3.603,0.024,-0.008,0.025,250.719,-8.375,
1.208,4.122,1.260,0.023,-8.187,-3.704,0.003,0.001,0.003,338.714,-0.564,
1.377,4.127,1.252,-0.308,-10.230,-4.919,0.028,-0.050,0.057,209.819,-7.214,
1.555,4.132,1.232,-2.076,-12.487,-4.556,0.031,-0.107,0.111,196.006,2.044,
1.745,4.127,1.233,-3.348,-11.831,1.249,-0.029,0.005,0.029,80.941,30.524,
2.406,4.044,1.188,-15.905,0.808,85.995,-0.126,-0.069,0.144,151.112,128.177,
3.280,4.042,1.170,5.891,-10.566,97.708,-0.002,-0.020,0.020,95.192,13.399,
3.407,4.040,1.171,3.253,-7.171,97.424,-0.014,0.001,0.014,86.144,-2.242,
3.543,4.038,1.172,3.534,-9.533,96.919,-0.015,0.013,0.020,48.209,-3.700,
3.657,4.036,1.172,4.543,-9.876,96.913,-0.020,-0.006,0.020,164.276,-0.048,
3.782,4.036,1.171,4.552,-9.880,96.998,-0.004,-0.005,0.006,129.168,0.679,
4.015,4.048,1.191,-0.064,-13.208,90.498,0.055,0.086,0.102,302.486,-27.960,
4.289,4.101,1.231,-3.833,-6.432,81.968,0.193,0.143,0.240,323.474,-31.039,
4.409,4.109,1.232,-5.496,-13.207,81.627,0.061,0.013,0.062,348.039,-2.849,
4.548,4.112,1.230,-4.128,-11.597,82.423,0.021,-0.018,0.028,229.160,5.741,
4.677,4.117,1.230,-2.059,-10.772,82.863,0.038,0.001,0.038,358.625,3.397,
4.818,4.120,1.230,-2.980,-12.853,82.892,0.022,0.006,0.023,345.335,0.207,
4.946,4.120,1.229,-2.485,-11.154,83.350,0.005,-0.014,0.015,199.942,3.593,
5.082,4.117,1.221,-3.149,-8.725,88.069,-0.027,-0.053,0.060,117.285,34.741,
5.217,4.124,1.228,-6.514,-7.857,88.029,0.054,0.046,0.071,319.216,-0.303,
5.356,4.128,1.233,-0.572,-21.116,88.495,0.028,0.041,0.050,304.530,3.351,
5.498,4.127,1.232,0.440,-17.932,88.988,-0.005,-0.011,0.012,111.552,3.472,
5.615,4.126,1.230,1.041,-17.485,89.609,-0.012,-0.017,0.021,124.224,5.309,
5.741,4.122,1.227,0.430,-16.889,90.992,-0.028,-0.019,0.034,144.915,10.946,
5.870,4.123,1.228,-0.616,-17.939,90.192,0.005,0.006,0.008,305.972,-6.220,
6.018,4.121,1.225,-3.391,-17.689,87.479,-0.013,-0.020,0.024,122.601,-18.337,
