Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
3.216,4.138,1.155,-23.485,20.944,-171.021,1.287,0.359,1.336,344.405,-53.176,
3.326,4.146,1.150,-22.073,25.124,-171.875,0.078,-0.043,0.089,241.115,-7.797,
3.436,4.148,1.160,-5.465,12.779,-178.477,0.016,0.093,0.094,279.696,-60.167,
3.548,4.150,1.164,-6.716,13.049,-178.379,0.017,0.029,0.034,300.969,0.873,
3.692,4.149,1.166,-5.289,13.017,-178.895,-0.006,0.013,0.014,22.580,-3.572,
3.804,4.152,1.163,-4.719,11.260,-177.515,0.027,-0.024,0.036,228.420,12.328,
3.925,4.148,1.160,-10.768,7.993,-175.387,-0.034,-0.028,0.044,141.141,17.644,
4.061,4.143,1.156,-12.383,8.258,-174.754,-0.038,-0.028,0.047,143.534,4.652,
4.172,4.141,1.158,-6.331,3.266,-175.570,-0.013,0.017,0.021,38.252,-7.339,
4.281,4.143,1.155,-10.803,4.948,-175.930,0.014,-0.024,0.028,210.493,-3.309,
4.394,4.161,1.153,-9.443,3.636,-176.260,0.160,-0.021,0.161,262.639,-2.923,
4.506,4.147,1.173,7.060,11.285,179.387,-0.125,0.183,0.222,34.299,3181.927,
4.615,4.145,1.174,-5.202,12.243,177.026,-0.021,0.011,0.023,63.185,-21.677,
4.846,4.190,1.186,5.371,16.373,175.956,0.197,0.051,0.203,345.436,-4.630,
4.959,4.200,1.185,12.702,17.801,175.415,0.085,-0.008,0.086,264.841,-4.761,
5.074,4.203,1.189,9.939,12.159,177.254,0.026,0.030,0.040,310.818,16.082,
5.191,4.201,1.191,1.232,9.642,177.255,-0.016,0.016,0.022,45.910,0.016,
5.303,4.201,1.191,0.605,11.105,176.760,0.002,0.004,0.005,294.388,-4.387,
5.423,4.208,1.199,3.201,12.600,177.731,0.058,0.062,0.085,313.121,8.086,
5.541,4.204,1.199,1.410,12.777,177.324,-0.036,0.004,0.036,83.001,-3.464,
5.664,4.203,1.201,2.035,10.683,177.646,-0.010,0.017,0.020,31.917,2.609,
5.798,4.200,1.197,2.111,11.707,177.164,-0.019,-0.031,0.037,121.473,-3.595,
5.929,4.199,1.190,0.873,12.476,176.209,-0.012,-0.049,0.051,104.189,-7.265,
6.045,4.202,1.188,0.451,11.885,175.848,0.033,-0.020,0.039,239.169,-3.129,
6.159,4.209,1.191,1.837,11.886,176.168,0.058,0.025,0.063,336.268,2.801,
6.279,4.209,1.191,1.527,12.959,176.148,0.001,-0.004,0.004,195.213,-0.160,
6.398,4.214,1.195,1.205,12.737,176.708,0.043,0.039,0.059,317.812,4.723,
6.516,4.215,1.197,0.783,12.629,176.908,0.010,0.013,0.016,307.127,1.687,
6.644,4.216,1.198,1.068,12.627,177.059,0.007,0.011,0.013,300.573,1.181,
6.769,4.215,1.198,1.442,12.848,176.965,-0.013,-0.005,0.014,158.246,-0.754,
6.885,4.216,1.199,1.191,12.930,177.167,0.015,0.012,0.019,321.306,1.740,
7.002,4.217,1.199,0.674,12.865,177.321,0.006,0.004,0.007,325.649,1.318,
7.113,4.218,1.200,0.549,12.703,177.481,0.009,0.009,0.013,313.893,1.444,
7.230,4.218,1.199,1.003,12.932,177.404,0.003,-0.011,0.012,193.049,-0.659,
7.334,4.220,1.200,1.037,12.815,177.495,0.011,0.008,0.014,322.509,0.872,
7.451,4.218,1.200,0.683,12.682,177.550,-0.009,0.002,0.009,78.344,0.479,
7.566,4.220,1.200,1.003,12.641,177.624,0.011,0.002,0.011,349.322,0.635,
7.682,4.220,1.200,1.479,12.842,177.566,0.000,-0.006,0.006,184.306,-0.503,
7.796,4.220,1.201,0.655,12.578,177.763,0.003,0.007,0.008,290.971,1.737,
7.936,4.221,1.201,0.403,12.574,177.882,0.007,0.004,0.008,326.919,0.852,
8.078,4.220,1.199,1.746,12.524,177.727,-0.005,-0.017,0.018,107.348,-1.089,
8.214,4.217,1.192,2.480,11.994,177.462,-0.024,-0.046,0.052,117.578,-1.943,
8.372,4.144,1.123,14.884,13.384,172.377,-0.460,-0.438,0.635,136.401,-32.197,
