Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
0,5.426,0,1.331,0.058,-0.143,1.322,0.453,0.373,2.937,
1,5.548,0,1.279,0.145,-0.147,1.262,-0.099,0.246,-2.881,
2,5.793,0,1.356,0.078,-0.100,1.350,-0.261,0.230,-3.031,
3,5.917,0,1.379,0.060,-0.091,1.375,-0.113,0.200,-3.122,
4,6.048,0,1.373,0.054,-0.085,1.369,-0.084,0.211,3.134,
5,6.171,0,1.335,0.072,-0.083,1.331,0.183,0.369,3.086,
6,6.406,0,1.303,0.077,-0.075,1.298,0.135,0.241,3.098,
7,6.528,0,1.282,0.078,-0.074,1.277,0.224,0.300,3.077,
8,6.668,0,1.267,0.077,-0.078,1.262,0.185,0.241,3.098,
9,6.788,0,1.250,0.079,-0.079,1.245,0.233,0.244,3.098,
10,6.916,0,1.246,0.071,-0.080,1.241,0.232,0.250,3.096,
