Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
4.794,4.111,0.993,-8.419,1.750,-179.083,0.857,0.207,0.882,346.419,-37.355,
4.898,4.125,1.026,-11.158,14.229,-177.653,0.136,0.319,0.346,293.022,13.775,
5.007,4.133,1.012,-11.939,13.534,-176.823,0.076,-0.134,0.155,209.563,7.680,
5.117,4.142,1.006,-11.738,10.732,-175.951,0.079,-0.055,0.096,235.378,7.843,
5.240,4.143,1.002,-11.969,11.460,-175.980,0.010,-0.025,0.027,200.934,-0.241,
5.353,4.145,1.004,-12.762,11.473,-175.664,0.016,0.010,0.019,327.620,2.778,
5.463,4.145,1.005,-12.585,11.414,-175.630,0.001,0.011,0.011,274.535,0.305,
5.573,4.146,1.004,-13.144,11.297,-175.531,0.010,-0.005,0.011,244.000,0.907,
5.680,4.149,1.003,-13.424,11.901,-175.450,0.027,-0.010,0.029,250.494,0.755,
5.799,4.157,1.000,-13.266,12.903,-175.383,0.064,-0.026,0.069,247.955,0.560,
5.924,4.159,0.999,-13.477,13.293,-175.375,0.020,-0.005,0.020,254.889,0.063,
6.062,4.159,1.000,-13.299,13.023,-175.602,-0.003,0.002,0.003,61.845,-1.700,
6.210,4.160,0.998,-12.797,13.577,-175.729,0.007,-0.008,0.011,223.981,-0.839,
6.356,4.159,0.997,-11.669,13.297,-176.447,-0.005,-0.009,0.011,120.369,-4.901,
6.505,4.165,0.984,-9.573,15.244,-177.527,0.041,-0.090,0.099,204.274,-7.270,
6.628,4.125,0.967,-9.216,14.990,-178.192,-0.325,-0.133,0.351,157.807,-5.353,
6.745,4.121,0.968,-6.592,14.952,-178.396,-0.027,0.008,0.028,72.724,-1.764,
6.864,4.165,0.968,-6.979,16.358,-177.823,0.361,-0.003,0.361,269.472,4.808,
6.976,4.213,0.966,-6.706,18.042,-177.578,0.434,-0.021,0.434,267.271,2.193,
7.089,4.286,0.973,-5.027,21.432,-176.427,0.645,0.064,0.648,354.350,10.190,
7.201,4.311,0.979,-3.927,21.073,-175.827,0.221,0.055,0.227,345.997,5.331,
7.314,4.278,0.987,-6.224,19.882,-175.194,-0.286,0.068,0.294,76.606,5.604,
7.435,4.261,0.994,-6.808,19.783,-175.779,-0.142,0.058,0.154,67.991,-4.852,
7.548,4.271,1.000,-8.749,19.306,-175.285,0.089,0.061,0.108,325.566,4.369,
7.677,4.272,0.993,-9.052,19.955,-175.673,0.008,-0.060,0.060,187.528,-2.996,
7.787,4.286,0.993,-10.770,20.576,-174.772,0.129,0.000,0.129,359.802,8.233,
7.901,4.279,0.992,-9.198,20.602,-175.400,-0.062,-0.010,0.063,170.931,-5.561,
8.014,4.277,0.994,-10.013,20.184,-175.138,-0.023,0.022,0.032,46.465,2.298,
8.122,4.272,0.993,-9.645,20.122,-175.492,-0.041,-0.009,0.042,167.944,-3.267,
8.229,4.270,0.992,-9.572,19.750,-176.246,-0.020,-0.013,0.024,146.394,-7.091,
8.334,4.286,0.994,-9.309,19.606,-174.801,0.152,0.025,0.154,350.847,13.828,
8.438,4.316,0.996,-9.341,20.140,-174.129,0.283,0.019,0.284,356.108,6.425,
8.540,4.330,0.991,-8.864,20.288,-173.919,0.143,-0.052,0.152,249.966,2.056,
8.654,4.344,0.990,-10.553,21.138,-173.665,0.121,-0.011,0.121,264.730,2.229,
8.768,4.362,0.990,-11.306,18.948,-173.436,0.155,0.001,0.155,359.538,2.002,
9.097,4.408,0.986,-11.094,21.609,-171.638,0.141,-0.011,0.142,265.657,5.457,
9.209,4.405,0.989,-8.577,20.950,-171.926,-0.031,0.025,0.040,51.324,-2.586,
9.318,4.411,0.979,-10.341,21.022,-172.174,0.057,-0.093,0.109,211.294,-2.274,
9.429,4.396,0.978,-9.411,19.970,-172.806,-0.131,-0.006,0.131,177.368,-5.685,
9.536,4.407,0.974,-8.685,21.668,-172.106,0.101,-0.037,0.108,249.865,6.550,
9.643,4.463,0.977,-8.283,21.932,-170.242,0.515,0.025,0.515,357.171,17.301,
9.756,4.466,0.983,-8.473,20.859,-169.847,0.027,0.051,0.058,297.876,3.522,
9.872,4.450,0.998,-9.966,20.639,-169.178,-0.133,0.132,0.188,45.192,5.745,
9.982,4.427,0.982,-6.972,21.378,-171.236,-0.209,-0.154,0.259,143.662,-18.822,
10.091,4.450,0.983,-11.681,20.321,-170.297,0.203,0.014,0.204,356.122,8.554,
10.199,4.457,0.967,-9.095,18.883,-170.652,0.065,-0.147,0.160,204.019,-3.316,
10.313,4.372,0.927,-6.683,15.464,-176.725,-0.731,-0.347,0.809,154.585,-52.718,
