Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
6.801,3.914,1.044,-18.931,-11.713,85.823,0.576,0.153,0.596,345.071,12.619,
7.580,3.883,1.069,8.739,0.440,84.532,-0.039,0.032,0.051,50.918,-1.658,
7.713,3.922,1.068,-21.722,-6.983,84.739,0.291,-0.004,0.291,269.164,1.565,
7.840,3.946,1.062,-11.038,-5.715,89.242,0.191,-0.047,0.197,256.114,35.432,
7.964,3.948,1.061,-12.988,-6.769,89.377,0.017,-0.005,0.018,254.509,1.087,
8.089,3.951,1.058,-11.280,-6.795,89.567,0.024,-0.024,0.034,224.227,1.516,
8.217,3.955,1.050,-9.658,-5.813,90.192,0.029,-0.063,0.070,204.678,4.905,
8.344,3.955,1.046,-11.624,-5.965,90.057,-0.003,-0.034,0.034,95.412,-1.061,
8.474,3.955,1.043,-11.697,-5.763,90.284,0.005,-0.027,0.027,189.682,1.743,
8.604,3.954,1.036,-14.836,-6.391,90.998,-0.007,-0.048,0.049,98.705,5.519,
8.732,3.955,1.036,-13.987,-5.955,91.194,0.006,0.000,0.006,355.308,1.531,
8.860,3.956,1.036,-11.777,-5.666,91.085,0.003,-0.001,0.004,249.517,-0.858,
8.998,3.955,1.036,-11.717,-5.378,91.088,-0.004,-0.001,0.004,167.738,0.026,
9.125,3.955,1.036,-11.521,-5.522,91.025,0.003,-0.003,0.004,220.956,-0.501,
9.267,3.956,1.035,-12.094,-5.366,91.099,0.003,-0.003,0.005,225.555,0.524,
9.406,3.957,1.035,-11.993,-5.238,91.136,0.006,-0.005,0.007,230.446,0.264,
9.532,3.957,1.035,-12.272,-5.383,91.157,0.004,0.001,0.004,345.417,0.167,
9.664,3.956,1.036,-11.994,-5.365,91.051,-0.007,0.009,0.011,35.822,-0.804,
9.795,3.948,1.047,-14.091,-6.683,91.048,-0.061,0.082,0.102,36.995,-0.028,
