Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
10.312,4.015,1.060,-27.864,-12.820,88.294,0.389,0.103,0.403,345.215,8.563,
10.441,4.019,1.054,-30.671,-16.058,87.919,0.029,-0.047,0.055,211.783,-2.903,
10.561,4.024,1.052,-32.234,-15.678,88.967,0.039,-0.014,0.041,250.256,8.689,
10.689,4.023,1.056,-32.281,-14.578,89.333,-0.005,0.031,0.031,9.444,2.883,
10.822,4.024,1.055,-32.577,-14.553,89.422,0.003,-0.007,0.007,200.612,0.670,
10.955,4.022,1.055,-32.939,-14.617,89.325,-0.009,0.003,0.010,71.955,-0.727,
11.090,4.024,1.055,-31.939,-13.939,89.523,0.009,-0.004,0.010,244.346,1.459,
11.216,4.022,1.057,-31.920,-13.881,89.365,-0.010,0.018,0.021,28.603,-1.259,
11.339,4.024,1.058,-31.319,-13.557,89.523,0.010,0.003,0.010,340.391,1.286,
11.466,4.024,1.055,-31.802,-13.956,89.535,0.006,-0.022,0.023,195.773,0.095,
11.598,4.025,1.054,-31.665,-13.867,89.579,0.003,-0.004,0.005,213.499,0.330,
11.733,4.026,1.053,-31.542,-13.910,89.681,0.009,-0.005,0.010,238.032,0.759,
11.868,4.025,1.053,-31.634,-13.891,89.663,-0.004,-0.002,0.004,152.859,-0.134,
11.997,4.026,1.053,-31.702,-13.930,89.708,0.002,-0.004,0.005,209.670,0.344,
12.130,4.026,1.052,-31.602,-13.903,89.710,0.001,-0.001,0.001,211.179,0.015,
12.260,4.026,1.052,-31.574,-13.914,89.721,0.001,-0.001,0.001,222.625,0.082,
12.390,4.025,1.054,-31.844,-14.024,89.559,-0.011,0.009,0.014,49.506,-1.237,
12.525,4.025,1.053,-31.718,-14.026,89.627,0.006,-0.005,0.008,225.660,0.505,
12.654,4.024,1.054,-31.509,-13.850,89.503,-0.008,0.009,0.012,40.418,-0.967,
12.776,4.025,1.052,-30.544,-13.252,90.079,0.009,-0.018,0.020,208.129,4.714,
12.911,4.025,1.053,-31.892,-14.184,89.457,-0.007,0.007,0.010,43.765,-4.627,
13.042,4.027,1.050,-31.310,-13.805,89.885,0.021,-0.021,0.030,226.012,3.263,
13.168,4.027,1.049,-31.847,-14.036,89.843,-0.002,-0.012,0.012,98.303,-0.333,
13.294,4.026,1.049,-31.718,-13.959,89.735,-0.005,0.006,0.008,42.910,-0.854,
13.426,4.028,1.049,-31.411,-13.874,89.984,0.014,-0.004,0.014,253.270,1.887,
13.562,4.027,1.051,-31.615,-13.984,89.776,-0.013,0.015,0.020,41.068,-1.531,
13.701,4.027,1.051,-31.300,-13.786,89.913,0.006,0.002,0.006,338.741,0.977,
13.829,4.027,1.051,-31.478,-13.940,89.774,-0.005,0.002,0.005,71.238,-1.084,
13.964,4.028,1.050,-31.396,-14.013,89.925,0.010,-0.008,0.013,229.904,1.125,
14.093,4.028,1.048,-31.639,-14.019,89.940,0.004,-0.018,0.018,191.302,0.117,
14.223,4.029,1.048,-31.312,-13.922,90.001,0.001,-0.000,0.001,260.641,0.469,
14.345,4.028,1.047,-31.816,-14.143,89.868,-0.006,-0.003,0.007,153.119,-1.083,
14.472,4.029,1.047,-31.247,-13.893,89.976,0.006,0.000,0.006,358.216,0.845,
14.606,4.029,1.047,-31.314,-13.911,90.038,0.004,-0.006,0.007,217.097,0.469,
14.735,4.028,1.047,-31.343,-13.952,89.998,-0.006,0.006,0.009,44.993,-0.310,
15.002,4.025,1.051,-31.566,-14.522,89.460,-0.012,0.013,0.018,41.649,-2.015,
