Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
3.225,4.056,1.244,-4.933,-7.744,-6.742,1.258,0.386,1.315,342.953,-2.090,
3.351,4.055,1.245,-5.624,-5.811,-7.286,-0.010,0.010,0.015,44.819,-4.332,
3.464,4.055,1.246,-10.452,-4.865,-7.981,0.007,0.006,0.009,320.617,-6.160,
3.595,4.055,1.246,-10.131,-5.012,-8.075,-0.002,-0.000,0.002,169.792,-0.716,
3.725,4.054,1.246,-7.723,-5.437,-7.708,-0.008,0.006,0.010,55.326,2.818,
3.845,4.054,1.247,-8.226,-6.553,-7.612,0.001,0.003,0.003,284.625,0.802,
3.963,4.055,1.247,-11.673,-6.364,-8.171,0.008,0.005,0.009,330.644,-4.735,
4.091,4.057,1.246,-11.856,-4.799,-9.887,0.012,-0.009,0.015,234.767,-13.360,
4.222,4.058,1.245,-13.094,1.896,-11.610,0.009,-0.008,0.012,227.874,-13.199,
4.347,4.058,1.245,-11.755,0.498,-11.653,-0.002,0.001,0.002,63.202,-0.345,
4.477,4.058,1.245,-12.286,0.611,-11.747,0.005,-0.002,0.006,247.457,-0.718,
4.607,4.058,1.245,-13.584,0.933,-11.683,0.001,0.002,0.002,294.052,0.493,
4.749,4.058,1.245,-11.660,0.606,-11.854,-0.001,0.001,0.001,36.100,-1.197,
4.883,4.058,1.245,-11.439,0.862,-11.798,-0.002,-0.000,0.002,177.963,0.420,
5.033,4.058,1.245,-12.235,1.158,-11.811,-0.001,0.001,0.001,31.890,-0.086,
5.192,4.057,1.246,-11.662,1.022,-11.772,-0.003,0.003,0.004,47.166,0.247,
5.325,4.057,1.246,-12.186,1.465,-11.654,-0.001,0.002,0.002,22.777,0.885,
5.453,4.058,1.246,-11.994,1.410,-11.766,0.003,-0.002,0.004,238.174,-0.868,
5.579,4.057,1.246,-12.039,0.706,-11.701,-0.003,0.001,0.003,63.285,0.514,
5.702,4.059,1.246,-13.064,1.402,-11.751,0.009,-0.003,0.010,251.438,-0.405,
5.815,4.056,1.247,-12.874,1.855,-11.192,-0.020,0.016,0.026,51.853,4.945,
