Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
0,15.137,0,1.276,0.097,-0.210,1.255,-0.248,0.246,-3.004,
1,15.255,0,1.301,0.087,-0.194,1.284,-0.393,0.240,-3.010,
2,15.371,0,1.317,0.078,-0.185,1.301,-0.470,0.241,-3.011,
3,15.488,0,1.314,0.077,-0.175,1.300,-0.455,0.222,-3.036,
4,15.600,0,1.301,0.087,-0.180,1.285,-0.357,0.223,-3.058,
5,15.719,0,1.296,0.092,-0.183,1.280,-0.328,0.212,-3.070,
6,15.828,0,1.291,0.094,-0.180,1.274,-0.301,0.223,-3.076,
7,15.945,0,1.291,0.092,-0.176,1.276,-0.283,0.209,-3.084,
8,16.059,0,1.294,0.093,-0.173,1.279,-0.274,0.206,-3.085,
9,16.178,0,1.296,0.092,-0.173,1.282,-0.298,0.211,-3.081,
10,16.298,0,1.296,0.089,-0.173,1.281,-0.322,0.206,-3.081,
11,16.418,0,1.294,0.090,-0.172,1.279,-0.312,0.213,-3.082,
12,16.534,0,1.293,0.090,-0.172,1.278,-0.284,0.202,-3.090,
13,16.652,0,1.291,0.090,-0.172,1.277,-0.301,0.203,-3.091,
14,16.763,0,1.292,0.089,-0.171,1.277,-0.297,0.200,-3.094,
15,16.873,0,1.292,0.088,-0.170,1.278,-0.290,0.200,-3.100,
16,16.995,0,1.293,0.088,-0.170,1.278,-0.302,0.201,-3.100,
17,17.130,0,1.295,0.086,-0.170,1.281,-0.303,0.200,-3.103,
18,17.236,0,1.296,0.084,-0.170,1.282,-0.309,0.202,-3.102,
19,17.343,0,1.295,0.085,-0.170,1.281,-0.314,0.204,-3.102,
20,17.454,0,1.294,0.087,-0.171,1.280,-0.306,0.203,-3.103,
21,17.561,0,1.294,0.088,-0.172,1.279,-0.310,0.200,-3.102,
22,17.673,0,1.293,0.089,-0.173,1.278,-0.312,0.204,-3.102,
23,17.789,0,1.292,0.087,-0.174,1.277,-0.313,0.202,-3.104,
24,17.896,0,1.293,0.089,-0.173,1.278,-0.306,0.207,-3.105,
25,18.020,0,1.294,0.088,-0.173,1.280,-0.311,0.207,-3.104,
26,18.135,0,1.295,0.087,-0.174,1.281,-0.328,0.204,-3.103,
27,18.244,0,1.295,0.087,-0.174,1.280,-0.325,0.204,-3.103,
28,18.356,0,1.295,0.088,-0.173,1.280,-0.312,0.206,-3.106,
29,18.463,0,1.292,0.090,-0.175,1.277,-0.329,0.209,-3.100,
