Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
0.153,-0.007,0.080,13.402,5.266,-88.299,-0.045,0.521,0.523,4.927,-576.106,
0.246,-0.007,0.080,13.419,5.176,-88.287,0.001,0.001,0.001,311.926,0.131,
0.331,-0.007,0.080,13.528,5.053,-88.266,0.000,0.001,0.002,278.827,0.249,
0.409,-0.007,0.080,13.709,5.115,-88.251,-0.002,0.000,0.002,77.050,0.191,
0.478,-0.007,0.080,13.590,5.048,-88.271,0.000,-0.001,0.001,196.411,-0.287,
0.598,-0.007,0.080,13.272,4.596,-88.372,0.002,0.001,0.003,329.921,-0.843,
0.721,-0.007,0.080,13.503,4.990,-88.380,0.001,-0.003,0.003,190.949,-0.061,
0.842,-0.007,0.080,13.526,5.238,-88.449,-0.001,0.001,0.001,63.294,-0.571,
1.020,-0.007,0.081,13.658,5.321,-88.308,-0.004,0.004,0.005,43.629,0.797,
1.138,-0.007,0.081,14.744,6.116,-88.511,0.001,0.002,0.002,285.128,-1.714,
1.294,-0.007,0.082,13.774,5.353,-88.239,-0.001,0.005,0.005,11.286,1.730,
1.407,-0.007,0.082,14.092,5.339,-88.242,0.000,0.002,0.002,273.806,-0.024,
1.523,-0.008,0.082,13.915,5.246,-88.218,-0.001,0.000,0.001,50.865,0.203,
1.663,-0.007,0.081,13.860,5.301,-88.266,0.002,-0.004,0.004,206.998,-0.337,
1.785,-0.007,0.082,13.846,5.188,-88.199,-0.001,0.003,0.003,26.867,0.546,
1.920,-0.007,0.082,13.793,5.335,-88.257,0.001,-0.001,0.001,214.086,-0.434,
2.040,-0.007,0.081,13.759,5.088,-88.266,0.001,-0.003,0.003,204.911,-0.069,
2.157,-0.007,0.081,13.757,5.386,-88.326,0.001,-0.002,0.002,217.046,-0.520,
2.283,-0.007,0.081,13.832,5.126,-88.288,-0.000,0.001,0.001,1.011,0.308,
2.399,-0.007,0.081,13.712,5.054,-88.320,0.001,-0.002,0.003,205.782,-0.281,
2.518,-0.007,0.081,13.867,5.152,-88.336,-0.000,0.000,0.000,27.574,-0.133,
2.633,-0.007,0.081,13.778,4.938,-88.361,0.002,-0.003,0.004,211.618,-0.218,
2.757,-0.007,0.081,13.837,5.307,-88.359,-0.001,0.002,0.003,31.551,0.018,
2.874,-0.007,0.081,13.909,4.944,-88.329,0.000,-0.001,0.001,188.782,0.257,
2.986,-0.006,0.080,13.709,5.316,-88.448,0.003,-0.007,0.008,201.496,-1.062,
3.093,-0.006,0.080,13.745,4.963,-88.447,0.001,-0.002,0.002,208.276,0.014,
3.216,-0.006,0.079,14.609,5.511,-88.714,0.002,-0.006,0.006,200.967,-2.168,
3.344,-0.006,0.079,13.607,5.119,-88.487,-0.001,0.002,0.002,25.643,1.769,
3.463,-0.006,0.079,13.649,4.758,-88.467,0.000,0.000,0.000,311.879,0.165,
3.583,-0.006,0.079,13.576,4.864,-88.483,-0.001,-0.001,0.001,130.204,-0.129,
3.715,-0.006,0.079,13.753,5.198,-88.487,-0.001,0.002,0.002,19.039,-0.032,
3.928,-0.007,0.080,13.711,4.854,-88.392,-0.001,0.003,0.003,22.207,0.447,
4.118,-0.007,0.081,13.850,4.971,-88.254,-0.002,0.006,0.006,19.473,0.726,
4.389,-0.007,0.081,14.028,4.876,-88.257,0.000,0.001,0.001,286.830,-0.013,
4.830,-0.007,0.081,14.088,4.984,-88.327,0.000,-0.000,0.000,221.193,-0.159,
4.967,-0.006,0.080,14.275,4.921,-88.423,0.004,-0.008,0.009,209.206,-0.696,
5.083,-0.006,0.080,14.233,5.105,-88.570,0.003,-0.001,0.003,254.375,-1.276,
5.317,-0.006,0.081,14.541,5.018,-88.544,0.000,0.003,0.003,270.173,0.113,
5.441,-0.006,0.080,14.644,4.924,-88.588,0.001,-0.003,0.003,191.476,-0.353,
5.558,-0.006,0.080,14.736,4.953,-88.628,0.001,-0.002,0.002,212.977,-0.342,
5.681,-0.006,0.080,15.646,5.719,-88.905,0.002,-0.003,0.003,215.418,-2.242,
5.791,-0.006,0.080,14.582,5.024,-88.692,0.000,-0.000,0.001,200.754,1.945,
5.910,-0.006,0.080,14.720,4.978,-88.679,0.000,0.002,0.002,277.949,0.112,
6.030,-0.005,0.080,14.895,4.883,-88.698,0.001,-0.000,0.001,243.900,-0.160,
6.158,-0.005,0.080,14.849,5.095,-88.772,0.001,-0.002,0.003,209.852,-0.577,
7.631,-0.023,-0.049,-13.063,0.594,-162.606,-0.012,-0.088,0.089,97.661,-50.126,
7.742,-0.044,-0.015,-17.851,10.133,-167.624,-0.194,0.313,0.368,31.735,-45.227,
7.867,-0.049,-0.002,-1.420,10.014,-171.132,-0.036,0.098,0.105,20.331,-28.099,
7.993,-0.050,0.003,-0.196,11.478,-172.133,-0.014,0.044,0.046,18.024,-7.940,
8.117,-0.050,0.005,-2.324,9.575,-171.721,0.004,0.011,0.012,291.046,3.327,
8.230,-0.050,0.005,-3.443,9.130,-171.550,-0.001,0.008,0.008,4.959,1.513,
8.357,-0.050,0.006,-1.915,9.811,-171.650,0.000,0.001,0.001,290.787,-0.791,
8.479,-0.050,0.005,-1.786,9.868,-171.591,0.001,-0.004,0.004,196.139,0.486,
8.597,-0.049,0.005,-3.429,9.193,-171.283,0.005,-0.002,0.005,243.152,2.597,
8.937,-0.049,0.004,-3.457,9.123,-171.279,0.000,-0.003,0.003,184.755,0.011,
9.050,-0.051,0.004,-2.075,9.219,-171.747,-0.015,0.001,0.015,84.232,-4.105,
9.170,-0.051,0.003,-2.070,9.558,-171.731,0.001,-0.005,0.005,190.877,0.131,
9.281,-0.051,0.003,-1.783,9.202,-171.778,0.001,-0.002,0.002,201.675,-0.420,
9.515,-0.050,0.002,-2.344,8.639,-171.556,0.002,-0.003,0.004,219.097,0.947,
9.629,-0.050,0.003,-2.641,9.106,-171.482,-0.002,0.007,0.007,14.037,0.648,
9.760,-0.049,0.003,-1.794,9.608,-171.449,0.008,-0.002,0.008,254.923,0.250,
9.993,-0.048,0.004,-3.291,9.118,-171.187,0.005,0.006,0.008,309.722,1.129,
10.108,-0.048,0.004,-1.942,9.336,-171.390,0.002,-0.002,0.003,235.888,-1.761,
10.228,-0.048,0.003,-2.912,8.985,-171.335,0.003,-0.006,0.007,204.309,0.455,
10.660,-0.033,-0.003,-5.141,7.694,-169.928,0.033,-0.015,0.036,245.773,3.259,
10.798,-0.041,-0.004,-4.200,6.427,-171.930,-0.053,-0.007,0.054,172.417,-14.430,
10.907,-0.048,0.001,-7.136,2.246,-174.488,-0.069,0.044,0.081,57.262,-23.526,
11.025,-0.039,-0.003,-4.119,1.822,-173.056,0.076,-0.036,0.084,244.372,12.146,
11.133,-0.038,-0.005,1.253,6.275,-173.014,0.015,-0.015,0.021,223.382,0.392,
