Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
2.134,4.148,0.912,13.363,2.002,115.570,1.944,0.427,1.991,347.604,54.174,
2.292,4.140,0.914,9.804,5.514,114.066,-0.049,0.017,0.052,70.796,-9.493,
3.300,3.925,1.082,-13.660,-12.966,91.119,-0.213,0.166,0.270,52.137,-22.752,
7.263,3.965,1.196,6.186,-3.653,81.415,0.010,0.029,0.030,289.237,-2.449,
7.390,3.986,1.183,0.747,-0.060,80.968,0.169,-0.101,0.197,239.061,-3.528,
7.512,3.985,1.184,3.276,-2.426,80.928,-0.006,0.008,0.010,35.573,-0.323,
7.641,3.988,1.185,2.010,-1.098,80.611,0.021,0.008,0.023,340.097,-2.456,
7.761,3.991,1.190,1.243,-0.765,80.341,0.026,0.041,0.048,302.168,-2.256,
7.885,3.994,1.196,0.740,-0.586,79.962,0.019,0.049,0.053,291.097,-3.050,
8.011,3.993,1.193,0.267,-0.047,80.114,-0.005,-0.024,0.024,101.145,1.207,
8.127,3.989,1.190,-1.479,0.970,80.839,-0.038,-0.027,0.047,144.636,6.251,
8.257,3.982,1.185,-5.134,2.763,81.655,-0.053,-0.036,0.064,145.520,6.300,
8.385,3.982,1.185,-3.814,1.742,81.464,-0.001,0.001,0.001,44.127,-1.485,
8.504,3.982,1.186,-3.572,1.697,81.368,0.005,0.005,0.007,312.501,-0.809,
8.628,3.983,1.184,-4.732,2.118,81.464,0.002,-0.015,0.015,186.940,0.776,
8.774,3.981,1.181,-6.205,2.265,81.650,-0.009,-0.017,0.019,118.405,1.272,
8.905,3.979,1.181,-3.043,1.454,81.814,-0.017,-0.006,0.018,160.299,1.252,
9.025,3.978,1.182,-2.783,1.298,81.734,-0.007,0.007,0.010,44.234,-0.671,
9.158,3.970,1.182,-2.212,-0.067,81.866,-0.063,0.001,0.063,88.849,0.995,
