Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
0,2.150,0,1.192,0.207,-0.113,1.169,0.220,-0.374,0.085,
1,2.270,0,1.236,0.192,-0.122,1.215,0.146,-0.412,0.081,
2,2.391,0,1.287,0.185,-0.127,1.267,0.063,-0.392,0.088,
3,2.515,0,1.304,0.183,-0.130,1.284,0.034,-0.384,0.086,
4,2.630,0,1.301,0.180,-0.130,1.281,0.028,-0.393,0.083,
5,2.757,0,1.304,0.177,-0.128,1.286,0.023,-0.398,0.084,
6,2.879,0,1.303,0.174,-0.129,1.285,0.022,-0.403,0.082,
7,3.006,0,1.304,0.175,-0.129,1.285,0.011,-0.396,0.079,
8,3.129,0,1.301,0.173,-0.131,1.283,0.025,-0.401,0.079,
9,3.249,0,1.302,0.172,-0.132,1.284,0.021,-0.394,0.079,
10,3.375,0,1.300,0.170,-0.131,1.282,0.023,-0.396,0.079,
11,3.500,0,1.301,0.170,-0.130,1.284,0.017,-0.386,0.078,
12,3.624,0,1.299,0.170,-0.130,1.282,0.023,-0.393,0.081,
13,3.746,0,1.303,0.170,-0.130,1.285,0.017,-0.381,0.080,
14,3.875,0,1.301,0.171,-0.129,1.283,0.023,-0.388,0.083,
15,3.993,0,1.301,0.173,-0.129,1.283,0.021,-0.390,0.083,
16,4.108,0,1.297,0.174,-0.130,1.279,0.023,-0.385,0.084,
17,4.229,0,1.294,0.175,-0.129,1.276,0.024,-0.388,0.085,
18,4.359,0,1.293,0.175,-0.130,1.275,0.027,-0.387,0.085,
19,4.477,0,1.293,0.173,-0.131,1.275,0.025,-0.381,0.081,
20,4.603,0,1.295,0.171,-0.133,1.277,0.009,-0.372,0.073,
21,4.722,0,1.287,0.173,-0.131,1.269,0.027,-0.380,0.083,
22,4.840,0,1.269,0.177,-0.126,1.250,0.020,-0.363,0.088,
23,4.974,0,1.264,0.181,-0.123,1.245,0.034,-0.370,0.102,
24,5.095,0,1.266,0.180,-0.123,1.247,0.032,-0.372,0.098,
25,5.218,0,1.269,0.179,-0.125,1.250,0.032,-0.374,0.097,
26,5.337,0,1.268,0.179,-0.124,1.249,0.032,-0.379,0.097,
27,5.459,0,1.270,0.179,-0.125,1.251,0.028,-0.371,0.097,
28,5.579,0,1.265,0.178,-0.125,1.246,0.050,-0.394,0.097,
29,5.701,0,1.269,0.178,-0.126,1.251,0.027,-0.370,0.094,
30,5.822,0,1.269,0.178,-0.127,1.251,0.024,-0.370,0.092,
31,5.952,0,1.268,0.179,-0.126,1.249,0.024,-0.370,0.095,
32,6.076,0,1.266,0.180,-0.128,1.247,0.028,-0.373,0.098,
33,6.196,0,1.267,0.180,-0.129,1.248,0.026,-0.370,0.098,
34,6.316,0,1.265,0.179,-0.130,1.246,0.024,-0.367,0.095,
35,6.448,0,1.265,0.180,-0.130,1.245,0.020,-0.370,0.095,
36,6.579,0,1.266,0.179,-0.130,1.246,0.019,-0.361,0.095,
37,6.694,0,1.255,0.181,-0.131,1.235,0.041,-0.365,0.100,
