Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
2.498,4.209,1.229,12.960,-1.170,-90.868,1.685,0.492,1.755,343.719,-36.378,
2.619,4.206,1.229,16.620,0.259,-90.539,-0.025,0.001,0.025,87.383,2.719,
2.745,4.205,1.229,18.459,0.621,-90.453,-0.005,-0.000,0.005,178.191,0.681,
2.864,4.207,1.230,16.519,0.290,-90.420,0.014,0.002,0.014,352.383,0.280,
2.980,4.207,1.230,14.587,-0.586,-90.394,0.005,0.000,0.005,354.770,0.226,
3.099,4.205,1.230,15.412,-0.602,-90.081,-0.021,0.001,0.021,88.243,2.634,
3.227,4.205,1.230,16.162,-0.316,-90.093,-0.003,-0.000,0.003,179.324,-0.093,
3.360,4.204,1.230,15.775,-0.791,-90.021,-0.006,-0.000,0.006,175.883,0.541,
3.479,4.202,1.230,15.518,-0.895,-89.664,-0.014,0.003,0.014,77.725,2.994,
3.602,4.199,1.230,16.088,-1.135,-88.840,-0.029,0.003,0.029,83.151,6.697,
3.723,4.197,1.231,16.836,-0.996,-88.689,-0.016,0.001,0.016,84.982,1.241,
3.844,4.196,1.231,16.601,-1.127,-88.620,-0.005,-0.000,0.005,178.619,0.576,
3.970,4.195,1.231,16.282,-1.201,-88.655,-0.006,0.001,0.006,83.802,-0.280,
4.097,4.195,1.231,16.537,-1.120,-88.753,0.001,0.000,0.001,319.480,-0.776,
4.229,4.196,1.231,16.614,-0.814,-88.813,0.001,0.002,0.003,301.749,-0.454,
4.343,4.196,1.231,16.704,-1.003,-88.767,0.001,-0.001,0.001,226.362,0.406,
4.475,4.196,1.231,16.433,-1.062,-88.797,0.002,0.001,0.002,336.069,-0.229,
4.593,4.195,1.231,16.599,-0.982,-88.758,-0.005,0.000,0.005,89.515,0.335,
4.720,4.196,1.231,16.858,-1.047,-88.819,0.002,0.003,0.003,304.898,-0.483,
4.842,4.196,1.234,15.778,-1.523,-88.371,0.003,0.018,0.019,279.817,3.675,
