Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
0.791,3.923,1.107,-7.232,15.457,85.068,4.961,1.400,5.155,344.246,107.575,
0.925,3.948,1.064,-18.076,-4.127,89.048,0.183,-0.318,0.366,209.920,29.729,
1.047,3.945,1.064,-20.269,-5.629,89.068,-0.023,0.001,0.023,88.437,0.163,
1.177,3.951,1.060,-19.586,-3.604,91.559,0.048,-0.033,0.058,235.324,19.166,
1.357,3.960,1.063,-11.546,0.987,94.205,0.051,0.016,0.054,343.178,14.732,
1.487,3.962,1.080,-16.724,-6.242,93.359,0.008,0.134,0.134,273.482,-6.470,
1.617,3.960,1.109,-15.952,-6.463,93.315,-0.010,0.222,0.222,2.622,-0.336,
1.738,3.952,1.126,-18.399,2.712,92.893,-0.067,0.138,0.154,25.905,-3.515,
1.857,4.009,1.183,-15.062,-6.305,90.820,0.473,0.474,0.670,314.938,-17.349,
1.984,4.058,1.178,-8.328,-4.664,91.495,0.388,-0.040,0.390,264.187,5.300,
2.103,4.069,1.161,-6.117,-5.329,92.495,0.092,-0.142,0.169,213.043,8.406,
2.224,4.069,1.147,-7.318,-5.456,93.115,-0.003,-0.112,0.112,91.354,5.150,
2.348,4.068,1.136,-6.073,-5.699,93.879,-0.010,-0.087,0.088,96.305,6.126,
2.483,4.065,1.139,-5.601,-5.332,93.682,-0.023,0.020,0.030,49.060,-1.462,
2.615,4.064,1.145,-5.435,-5.377,93.447,-0.005,0.041,0.041,7.052,-1.779,
2.762,4.062,1.145,-5.354,-5.091,93.384,-0.015,0.005,0.016,71.184,-0.428,
2.889,4.061,1.146,-5.890,-5.140,93.252,-0.006,0.007,0.009,40.654,-1.039,
3.008,4.061,1.145,-6.169,-5.196,93.193,-0.000,-0.008,0.008,92.334,-0.489,
3.136,4.060,1.144,-6.261,-5.085,93.161,-0.006,-0.006,0.008,137.155,-0.254,
3.252,4.060,1.144,-6.234,-5.087,93.196,-0.004,-0.003,0.005,147.296,0.304,
3.374,4.059,1.144,-6.399,-4.862,93.207,-0.009,-0.003,0.009,163.830,0.088,
3.495,4.059,1.143,-6.530,-4.987,93.199,0.000,-0.003,0.003,185.760,-0.070,
3.610,4.058,1.144,-6.460,-4.884,93.213,-0.009,0.002,0.009,79.502,0.122,
3.728,4.052,1.141,-7.514,-5.241,92.728,-0.045,-0.026,0.052,150.181,-4.119,
