Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
0,3.674,0,1.262,0.070,-0.221,1.240,-0.396,-0.076,1.540,
1,3.794,0,1.285,0.087,-0.185,1.268,-0.390,-0.162,1.509,
2,3.918,0,1.297,0.088,-0.180,1.282,-0.431,-0.165,1.519,
3,4.043,0,1.296,0.091,-0.174,1.281,-0.403,-0.184,1.522,
4,4.177,0,1.300,0.092,-0.172,1.285,-0.416,-0.180,1.523,
5,4.303,0,1.307,0.091,-0.172,1.293,-0.395,-0.179,1.528,
6,4.430,0,1.304,0.091,-0.172,1.289,-0.397,-0.179,1.530,
7,4.553,0,1.305,0.091,-0.173,1.291,-0.378,-0.174,1.533,
8,4.675,0,1.309,0.091,-0.172,1.294,-0.358,-0.169,1.538,
9,4.815,0,1.308,0.091,-0.172,1.293,-0.370,-0.175,1.539,
10,4.942,0,1.306,0.092,-0.171,1.291,-0.368,-0.174,1.537,
11,5.067,0,1.304,0.094,-0.171,1.289,-0.377,-0.174,1.536,
12,5.197,0,1.307,0.094,-0.171,1.293,-0.384,-0.169,1.534,
13,5.327,0,1.317,0.094,-0.178,1.302,-0.498,-0.189,1.513,
14,5.450,0,1.314,0.095,-0.176,1.299,-0.489,-0.191,1.511,
15,5.575,0,1.308,0.097,-0.171,1.293,-0.442,-0.193,1.516,
16,5.703,0,1.309,0.098,-0.172,1.294,-0.460,-0.193,1.514,
17,5.853,0,1.309,0.098,-0.171,1.294,-0.464,-0.197,1.510,
18,5.981,0,1.311,0.100,-0.170,1.296,-0.441,-0.192,1.518,
19,6.240,0,1.306,0.121,-0.152,1.292,-0.444,-0.176,1.581,
20,6.374,0,1.295,0.142,-0.136,1.280,-0.468,-0.216,1.645,
21,6.628,0,1.280,0.168,-0.123,1.263,-0.357,-0.201,1.876,
22,6.757,0,1.277,0.166,-0.127,1.259,-0.164,-0.043,2.124,
23,7.007,0,1.266,0.151,-0.234,1.235,-0.115,0.120,2.672,
24,7.131,0,1.273,0.158,-0.256,1.237,-0.118,0.182,2.837,
25,7.254,0,1.304,0.157,-0.271,1.266,-0.433,0.241,2.976,
26,7.373,0,1.304,0.162,-0.270,1.266,-0.355,0.253,3.014,
27,7.499,0,1.305,0.162,-0.277,1.264,-0.322,0.250,3.056,
28,9.390,0,1.312,0.162,-0.261,1.276,-0.169,0.178,2.953,
29,9.517,0,1.311,0.161,-0.246,1.277,-0.080,0.149,2.914,
30,9.638,0,1.314,0.158,-0.226,1.284,-0.105,0.135,2.894,
31,10.024,0,1.342,0.167,-0.164,1.321,-0.174,0.111,2.844,
32,10.151,0,1.340,0.166,-0.151,1.321,-0.241,0.153,2.860,
33,10.284,0,1.343,0.162,-0.147,1.325,-0.217,0.156,2.859,
34,10.403,0,1.350,0.162,-0.145,1.333,-0.233,0.193,2.864,
35,10.655,0,1.346,0.162,-0.147,1.329,-0.238,0.187,2.857,
