Time,X,Y,Pitch,Roll,Yaw
21.148,-0.462,-0.236,-2.583,0.717,1.309,
21.328,-0.599,-0.204,-4.070,0.691,1.390,
21.475,-0.083,-0.385,-0.125,1.250,1.327,
21.634,0.356,0.372,-5.591,2.518,1.689,
21.791,-0.669,0.640,-0.282,2.090,2.659,
21.935,0.090,-0.034,-0.871,2.627,1.463,
22.069,0.371,0.348,1.435,2.105,1.446,
22.217,0.342,0.165,-0.218,-1.572,1.831,
22.359,-0.054,0.702,-0.216,4.835,1.335,
22.502,0.001,0.705,-4.266,-1.376,1.442,
22.649,0.233,0.650,-5.310,3.418,1.566,
22.801,0.201,-0.007,-1.268,2.748,1.310,
22.931,0.412,0.308,-2.012,-0.069,1.409,
23.088,0.345,0.116,-0.048,3.223,1.404,
23.235,0.407,0.283,-1.276,3.282,1.673,
23.379,0.059,0.229,0.555,1.895,1.505,
23.529,-0.252,0.585,-0.356,2.430,1.692,
23.679,0.222,0.001,-0.452,1.468,1.489,
23.831,-0.407,0.212,0.824,0.516,1.543,
23.981,-0.067,-0.545,0.562,-0.087,1.095,
24.122,-0.055,-0.268,-3.073,-0.815,1.354,
24.266,0.139,-0.184,0.011,1.602,1.371,
24.414,0.147,-0.166,-0.537,0.975,1.467,
24.583,0.154,-0.123,-0.164,1.392,1.473,
24.735,0.096,-0.208,-0.338,1.861,1.408,
24.875,0.084,-0.270,-0.867,1.546,1.277,
25.022,-0.028,-0.358,0.170,1.492,1.469,
25.184,0.017,-0.340,-0.080,1.323,1.508,
25.327,0.023,-0.318,-0.314,1.353,1.430,
25.473,0.161,0.098,0.237,1.798,1.642,
25.614,0.242,0.035,-0.573,1.838,1.370,
25.757,0.129,0.175,-4.241,-0.292,1.435,
25.945,-0.052,0.300,-4.297,-0.319,1.716,
26.105,0.121,0.161,-0.640,2.127,1.227,
26.265,0.178,-0.096,-4.189,-0.007,1.389,
26.418,-0.120,-0.436,-0.843,0.326,1.430,
26.574,0.117,0.027,-0.129,1.661,1.218,
26.724,-0.305,-0.516,0.730,1.386,1.336,
26.864,-0.356,-0.521,-3.948,-1.116,1.430,
26.999,-0.512,-0.318,-0.109,0.957,1.412,
27.149,-0.315,-0.491,0.539,1.682,1.317,
27.293,-0.535,-0.364,-0.026,1.228,1.258,
27.432,0.154,-0.174,-0.479,1.618,1.480,
27.577,0.019,0.386,0.323,1.945,1.576,
27.720,0.167,-0.060,0.171,1.763,1.440,
27.870,-0.083,0.549,-0.837,1.286,1.580,
28.012,0.406,0.359,-1.857,-0.695,1.645,
28.153,0.258,0.034,-6.247,-2.472,1.362,
28.302,0.350,0.183,-3.704,-1.704,1.646,
28.447,0.357,0.465,-5.351,1.236,1.529,
28.595,0.210,0.359,-0.754,-0.393,1.678,
28.731,0.127,-0.001,-0.624,-0.670,1.520,
28.883,-0.145,0.799,-0.500,0.968,1.629,
29.033,0.369,0.226,-6.134,3.135,1.652,
29.177,0.303,0.097,-5.334,0.975,1.480,
29.323,0.361,0.201,-6.313,1.853,1.506,
29.469,0.362,0.205,-6.321,2.537,1.719,
29.613,0.325,0.127,0.033,-0.708,1.488,
29.747,0.335,0.144,-6.513,2.285,1.609,
29.885,0.379,0.381,-0.572,-1.084,1.589,
30.031,0.382,0.301,-6.142,1.717,1.598,
30.178,0.202,0.007,-5.681,2.004,1.576,
30.331,0.351,0.176,-6.069,1.999,1.595,
30.472,0.362,0.205,-6.544,2.939,1.727,
30.624,0.379,0.277,-7.064,3.305,1.607,
30.806,0.311,0.107,-6.271,2.497,1.567,
30.992,0.379,0.274,-6.044,2.023,1.605,
31.166,0.382,0.356,-5.250,1.277,1.526,
31.342,0.301,0.093,-6.259,2.412,1.587,
31.512,0.208,0.010,-6.058,2.390,1.579,
31.689,0.217,0.015,-5.850,1.674,1.557,
31.857,0.362,0.204,-5.704,1.484,1.480,
31.997,0.341,0.154,-0.841,-1.046,1.587,
32.153,0.336,0.146,-5.822,1.018,1.535,
32.299,0.326,0.129,0.130,-0.213,1.479,
32.444,0.299,0.091,-0.455,-1.174,1.528,
32.583,0.332,0.139,0.071,-1.686,1.743,
32.737,0.374,0.245,-6.788,2.506,1.561,
