Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta
7.156,0.043,0.076,-0.873,14.628,-178.977,-0.030,0.143,0.146,11.978,
7.196,0.041,0.084,2.039,17.727,-179.213,-0.037,0.216,0.219,9.684,
7.512,0.026,0.088,0.304,12.305,177.912,-0.049,0.011,0.050,77.967,
7.559,0.029,0.091,-0.105,13.941,178.295,0.071,0.078,0.105,312.174,
7.607,0.031,0.095,0.959,12.502,178.597,0.049,0.073,0.088,304.041,
7.654,0.031,0.093,-1.881,11.517,179.284,-0.011,-0.036,0.037,106.677,
7.748,0.028,0.079,-1.065,12.312,178.584,-0.033,-0.146,0.149,102.797,
7.795,0.027,0.077,1.364,13.405,177.806,-0.004,-0.062,0.062,93.258,
7.845,0.028,0.078,1.516,13.913,177.872,0.003,0.025,0.025,275.829,
7.892,0.028,0.080,1.066,13.344,178.014,0.007,0.046,0.047,278.049,
7.939,0.028,0.081,1.850,12.173,178.070,0.002,0.019,0.019,276.441,
7.986,0.028,0.081,1.415,12.508,178.120,0.002,-0.005,0.006,205.481,
8.033,0.029,0.079,1.414,13.052,178.366,0.022,-0.043,0.048,207.180,
8.081,0.032,0.076,0.849,12.548,178.343,0.064,-0.056,0.085,228.792,
8.128,0.036,0.073,1.288,10.510,178.725,0.078,-0.055,0.096,234.803,
8.176,0.039,0.073,0.649,9.329,179.609,0.067,-0.006,0.067,264.754,
8.224,0.042,0.074,0.028,9.738,-179.805,0.051,0.020,0.055,338.770,
8.274,0.042,0.076,0.745,11.058,-179.578,0.013,0.036,0.038,290.507,
8.321,0.041,0.075,1.474,11.670,-179.718,-0.030,-0.008,0.031,165.398,
8.368,0.037,0.073,2.428,10.029,-179.423,-0.079,-0.047,0.091,149.248,
8.414,0.034,0.071,1.945,8.376,-179.009,-0.066,-0.054,0.085,140.670,
8.464,0.033,0.069,1.833,7.619,-179.055,-0.020,-0.039,0.043,116.769,
8.508,0.035,0.067,2.016,7.812,-179.513,0.034,-0.034,0.048,224.498,
8.558,0.039,0.066,2.562,7.260,179.993,0.093,-0.028,0.098,253.074,
8.655,0.048,0.065,2.932,8.234,-179.961,0.095,-0.013,0.096,262.025,
8.699,0.050,0.066,3.656,8.125,-179.742,0.034,0.033,0.047,316.386,
8.745,0.052,0.065,4.968,7.185,-179.545,0.046,-0.021,0.050,245.518,
8.792,0.055,0.062,5.151,5.528,-178.928,0.062,-0.063,0.088,224.393,
8.904,0.061,0.048,-1.529,4.567,-178.024,0.053,-0.122,0.133,203.400,
8.997,0.055,0.012,-11.330,-12.009,-171.384,-0.064,-0.389,0.394,99.363,
