Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
0,2.078,0,1.123,0.151,-0.149,1.103,-0.190,-0.045,1.659,
1,2.686,0,1.127,0.150,-0.155,1.106,-0.239,-0.081,1.654,
2,3.047,0,1.142,0.160,-0.130,1.123,-0.315,-0.104,1.664,
3,3.696,0,1.155,0.166,-0.108,1.138,-0.258,-0.094,1.699,
4,7.350,0,1.098,0.147,-0.179,1.073,-0.411,-0.027,1.657,
5,7.616,0,1.153,0.147,-0.084,1.141,-0.321,-0.139,1.654,
6,7.757,0,1.163,0.147,-0.070,1.152,-0.292,-0.152,1.657,
7,8.442,0,1.203,0.146,-0.033,1.194,-0.212,-0.166,1.652,
8,8.578,0,1.202,0.140,-0.029,1.193,-0.205,-0.173,1.645,
9,9.679,0,1.196,0.136,-0.039,1.188,-0.225,-0.153,1.611,
10,9.815,0,1.197,0.136,-0.040,1.188,-0.228,-0.160,1.608,
11,10.244,0,1.176,0.125,-0.061,1.168,-0.289,-0.173,1.456,
12,10.957,0,1.140,0.186,-0.123,1.118,0.145,-0.398,-0.110,
13,11.102,0,1.145,0.184,-0.121,1.123,0.100,-0.391,-0.122,
14,11.259,0,1.144,0.182,-0.122,1.123,0.126,-0.384,-0.107,
15,11.420,0,1.150,0.179,-0.122,1.129,0.095,-0.374,-0.115,
16,11.569,0,1.153,0.177,-0.119,1.133,0.100,-0.368,-0.114,
17,11.720,0,1.151,0.174,-0.120,1.131,0.103,-0.375,-0.119,
18,11.860,0,1.151,0.170,-0.122,1.132,0.094,-0.370,-0.120,
19,12.008,0,1.151,0.168,-0.122,1.132,0.092,-0.373,-0.122,
20,12.165,0,1.149,0.166,-0.121,1.131,0.089,-0.383,-0.127,
21,12.473,0,1.149,0.163,-0.122,1.131,0.087,-0.374,-0.128,
22,12.616,0,1.147,0.163,-0.122,1.129,0.087,-0.377,-0.128,
23,12.756,0,1.147,0.163,-0.122,1.129,0.090,-0.380,-0.126,
24,12.903,0,1.150,0.162,-0.123,1.132,0.084,-0.377,-0.126,
25,13.061,0,1.150,0.161,-0.124,1.132,0.087,-0.377,-0.128,
26,13.211,0,1.149,0.161,-0.126,1.131,0.085,-0.370,-0.129,
27,13.358,0,1.143,0.166,-0.131,1.123,0.093,-0.365,-0.124,
