Time,X,Y,Pitch,Roll,Yaw
1.508,0.391,-0.620,21.464,-6.921,4.868,
1.666,-0.189,0.162,1.112,-6.381,2.955,
2.144,-0.053,0.098,7.620,0.124,0.656,
2.300,0.267,-0.244,-4.660,8.167,2.071,
2.453,-0.021,0.278,-1.134,0.159,1.155,
2.604,-0.025,0.350,-0.741,1.652,1.187,
2.746,0.043,0.290,-0.689,-0.807,1.023,
2.904,-0.073,0.279,-4.502,0.413,1.360,
3.050,0.043,-0.000,-7.574,7.163,1.459,
3.182,0.183,-0.019,-10.566,-2.312,0.512,
3.346,0.187,0.296,-2.712,-1.679,1.094,
3.495,0.096,0.419,-4.489,-5.687,1.208,
3.642,0.186,0.418,-5.513,-0.656,1.135,
3.782,0.150,0.491,-2.509,-1.964,1.167,
3.923,0.108,0.517,-2.353,-1.773,1.203,
4.059,0.148,0.276,-4.355,-2.406,1.216,
4.204,0.165,0.232,-3.984,-3.135,1.246,
4.347,0.175,0.280,-5.487,-3.217,1.078,
4.489,0.098,0.457,-3.432,-2.790,1.335,
4.643,0.155,0.279,-4.836,-2.967,1.155,
4.790,0.179,0.360,-4.660,-2.998,1.090,
4.932,0.159,0.256,-5.575,-3.606,1.139,
5.079,0.183,0.316,-3.249,-2.986,1.231,
5.232,0.177,0.309,-4.551,-2.465,1.111,
5.405,0.150,0.341,-4.080,-2.546,1.183,
5.566,0.193,0.272,-4.422,-2.285,1.164,
5.705,0.189,0.331,-3.801,-2.530,1.206,
5.843,0.185,0.372,-4.350,-3.124,1.166,
5.984,0.200,0.300,-4.102,-3.496,1.138,
6.123,0.164,0.342,-3.560,-3.322,1.284,
6.274,0.157,0.211,-4.200,-2.767,1.263,
6.412,0.172,0.187,-4.825,-2.839,1.141,
6.550,0.141,0.234,-4.225,-2.954,1.290,
6.688,0.164,0.359,-3.662,-2.665,1.226,
6.832,0.119,0.302,-4.443,-3.248,1.308,
6.970,0.205,0.345,-5.319,-3.178,1.096,
7.104,0.192,0.262,-4.404,-2.993,1.156,
7.244,0.169,0.214,-4.200,-3.212,1.259,
7.378,0.219,0.346,-4.657,-2.786,1.035,
7.525,0.118,0.379,-3.814,-2.781,1.333,
7.667,0.188,0.313,-4.258,-2.025,1.095,
7.816,0.272,0.395,-5.438,-2.767,0.952,
7.953,0.301,0.198,-4.902,-2.428,0.854,
8.095,0.230,0.297,-5.223,-3.535,1.161,
8.243,0.217,0.386,-4.508,-1.103,1.139,
8.383,0.093,0.519,-2.930,-2.212,1.348,
8.517,0.154,0.417,-4.767,-2.936,1.130,
8.662,0.128,0.345,-5.185,-1.314,1.177,
8.808,0.135,0.222,-2.687,-3.665,1.236,
8.945,0.202,-0.022,-5.472,-1.934,0.554,
9.089,0.267,-0.017,-2.767,-3.164,0.403,
9.245,0.263,0.060,-3.940,-1.251,0.355,
9.401,0.024,-0.126,-7.388,-5.991,-0.023,
9.545,0.105,0.034,0.315,-1.652,0.295,
9.695,0.025,0.033,0.212,-0.856,0.495,
9.855,0.133,0.049,-0.303,-2.005,0.285,
10.013,0.094,0.051,-0.159,-2.712,0.237,
10.171,0.049,0.132,2.301,-0.951,0.392,
10.331,0.033,0.109,2.619,-0.122,0.437,
10.486,0.025,0.184,3.465,1.016,0.406,
10.654,-0.020,-0.007,1.952,-0.770,0.300,
10.811,0.031,0.090,1.860,-0.110,0.335,
10.969,0.015,0.126,-0.728,-1.775,0.483,
11.124,-0.047,0.149,0.846,-2.101,0.599,
11.278,-0.022,0.085,0.102,-2.350,0.374,
11.419,-0.075,0.105,1.805,-0.229,0.517,
11.568,-0.121,0.051,-0.025,-0.711,0.588,
11.700,-0.050,0.165,1.441,-1.841,0.550,
11.822,0.026,0.094,0.684,-0.013,0.460,
11.960,-0.128,-0.023,2.323,-1.952,0.600,
12.114,-0.047,0.177,0.248,-0.781,0.572,
12.253,-0.106,0.066,2.629,-1.537,0.662,
12.387,-0.017,0.113,1.763,-1.931,0.506,
12.532,-0.013,0.161,2.797,-2.321,0.632,
12.665,-0.085,0.108,0.168,0.120,0.655,
12.805,-0.050,0.162,0.440,-1.030,0.562,
12.958,-0.076,0.070,0.487,-0.654,0.559,
13.125,0.015,0.153,1.255,-1.106,0.528,
13.278,-0.101,0.096,0.369,-0.529,0.699,
13.411,-0.037,0.139,2.993,-1.357,0.550,
13.546,-0.045,0.079,0.568,-0.375,0.546,
13.684,0.096,0.193,1.255,-1.140,0.416,
13.827,-0.098,0.103,-0.277,0.752,0.709,
13.962,-0.017,0.097,2.586,-1.922,0.546,
14.099,-0.075,0.129,2.085,-0.288,0.540,
14.235,-0.020,0.118,2.521,-0.413,0.436,
14.378,-0.035,0.106,2.997,-1.131,0.509,
14.512,-0.036,0.149,2.723,-1.853,0.576,
14.653,-0.043,0.067,2.871,-1.915,0.527,
14.781,0.107,0.152,2.719,-1.959,0.456,
14.921,-0.081,0.109,0.675,-1.378,0.549,
15.067,-0.060,0.133,2.283,-1.524,0.635,
15.203,0.022,0.149,2.439,-2.004,0.568,
15.348,-0.081,0.088,1.105,-1.419,0.584,
